task,owner,owner_track,assignment_type,priority_band,cost,points,gap_to_18,gap_to_19,shape_class,size_trend,color_class,examples,score_source,note
task001,B,same_shape_rules_fill,primary,P3_ge17p5,286,19.344008,0.000000,0.000000,shape_change,grow,input_palette_only,268,scripts/v244_costs.txt,
task002,D,mid_low_score_rule_mining,primary,P0_lt16,14285,15.433035,2.566965,3.566965,same_shape,same_size,new_output_colors,268,scripts/v244_costs.txt,
task003,E,public_source_ab_testing,primary,P3_ge17p5,260,19.439318,0.000000,0.000000,shape_change,grow,new_output_colors,265,scripts/v244_costs.txt,
task004,A,shape_relayout_high_cost,primary,P1_16_16p7,5120,16.459090,1.540910,2.540910,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task005,A,shape_relayout_high_cost,primary,P1_16_16p7,6759,16.181370,1.818630,2.818630,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task006,F,tail_validation_packaging,primary,P3_ge17p5,153,19.969562,0.000000,0.000000,shape_change,shrink,new_output_colors,266,scripts/v244_costs.txt,
task007,E,public_source_ab_testing,primary,P3_ge17p5,127,20.155813,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task008,B,same_shape_rules_fill,primary,P2_16p7_17p5,3163,16.940724,1.059276,2.059276,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task009,C,onnx_equiv_compression,primary,P1_16_16p7,6699,16.190286,1.809714,2.809714,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task010,D,mid_low_score_rule_mining,primary,P3_ge17p5,1002,18.090247,0.000000,0.909753,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task011,E,public_source_ab_testing,primary,P3_ge17p5,318,19.237949,0.000000,0.000000,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task012,E,public_source_ab_testing,primary,P2_16p7_17p5,2251,17.280870,0.719130,1.719130,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task013,E,public_source_ab_testing,primary,P3_ge17p5,1424,17.738775,0.261225,1.261225,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task014,A,shape_relayout_high_cost,primary,P1_16_16p7,4117,16.677120,1.322880,2.322880,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task015,C,onnx_equiv_compression,primary,P3_ge17p5,900,18.197605,0.000000,0.802395,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task016,A,shape_relayout_high_cost,primary,P3_ge17p5,10,22.697415,0.000000,0.000000,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task017,A,shape_relayout_high_cost,primary,P1_16_16p7,6453,16.227700,1.772300,2.772300,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task018,B,same_shape_rules_fill,primary,P0_lt16,24360,14.899302,3.100698,4.100698,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task019,B,same_shape_rules_fill,primary,P2_16p7_17p5,2503,17.174755,0.825245,1.825245,shape_change,grow,new_output_colors,267,scripts/v244_costs.txt,
task020,D,mid_low_score_rule_mining,primary,P3_ge17p5,1256,17.864313,0.135687,1.135687,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task021,F,tail_validation_packaging,primary,P3_ge17p5,324,19.219256,0.000000,0.000000,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task022,F,tail_validation_packaging,primary,P3_ge17p5,900,18.197605,0.000000,0.802395,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task023,B,same_shape_rules_fill,primary,P0_lt16,8222,15.985431,2.014569,3.014569,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task024,B,same_shape_rules_fill,primary,P3_ge17p5,110,20.299520,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task025,F,tail_validation_packaging,primary,P0_lt16,10236,15.766334,2.233666,3.233666,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task026,F,tail_validation_packaging,primary,P3_ge17p5,200,19.701683,0.000000,0.000000,shape_change,shrink,new_output_colors,268,scripts/v244_costs.txt,
task027,F,tail_validation_packaging,primary,P3_ge17p5,1308,17.823745,0.176255,1.176255,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task028,D,mid_low_score_rule_mining,primary,P3_ge17p5,168,19.876036,0.000000,0.000000,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task029,D,mid_low_score_rule_mining,primary,P1_16_16p7,5288,16.426805,1.573195,2.573195,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task030,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,2144,17.329571,0.670429,1.670429,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task031,E,public_source_ab_testing,primary,P3_ge17p5,481,18.824133,0.000000,0.175867,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task032,D,mid_low_score_rule_mining,primary,P3_ge17p5,910,18.186555,0.000000,0.813445,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task033,E,public_source_ab_testing,primary,P3_ge17p5,1639,17.598158,0.401842,1.401842,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task034,F,tail_validation_packaging,primary,P2_16p7_17p5,2261,17.276438,0.723562,1.723562,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task035,E,public_source_ab_testing,primary,P2_16p7_17p5,1905,17.447763,0.552237,1.552237,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task036,D,mid_low_score_rule_mining,primary,P3_ge17p5,1610,17.616011,0.383989,1.383989,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task037,F,tail_validation_packaging,primary,P2_16p7_17p5,3895,16.732551,1.267449,2.267449,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task038,E,public_source_ab_testing,primary,P3_ge17p5,213,19.638708,0.000000,0.000000,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task039,E,public_source_ab_testing,primary,P3_ge17p5,453,18.884108,0.000000,0.115892,shape_change,shrink,input_palette_only,264,scripts/v244_costs.txt,
task040,E,public_source_ab_testing,primary,P3_ge17p5,190,19.752976,0.000000,0.000000,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task041,D,mid_low_score_rule_mining,primary,P3_ge17p5,1787,17.511706,0.488294,1.488294,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task042,E,public_source_ab_testing,primary,P2_16p7_17p5,3110,16.957622,1.042378,2.042378,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task043,E,public_source_ab_testing,primary,P3_ge17p5,793,18.324177,0.000000,0.675823,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task044,E,public_source_ab_testing,primary,P1_16_16p7,4736,16.537052,1.462948,2.462948,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task045,D,mid_low_score_rule_mining,primary,P3_ge17p5,1673,17.577626,0.422374,1.422374,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task046,C,onnx_equiv_compression,primary,P2_16p7_17p5,2279,17.268508,0.731492,1.731492,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task047,D,mid_low_score_rule_mining,primary,P3_ge17p5,862,18.240745,0.000000,0.759255,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task048,F,tail_validation_packaging,primary,P3_ge17p5,803,18.311645,0.000000,0.688355,shape_change,shrink,input_palette_only,270,scripts/v244_costs.txt,
task049,E,public_source_ab_testing,primary,P3_ge17p5,345,19.156456,0.000000,0.000000,shape_change,shrink,input_palette_only,268,scripts/v244_costs.txt,
task050,E,public_source_ab_testing,primary,P2_16p7_17p5,3850,16.744172,1.255828,2.255828,same_shape,same_size,new_output_colors,271,scripts/v244_costs.txt,
task051,E,public_source_ab_testing,primary,P3_ge17p5,1744,17.536063,0.463937,1.463937,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task052,C,onnx_equiv_compression,primary,P3_ge17p5,194,19.732142,0.000000,0.000000,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task053,A,shape_relayout_high_cost,primary,P3_ge17p5,30,21.598803,0.000000,0.000000,same_shape,same_size,input_palette_only,60,scripts/v244_costs.txt,
task054,C,onnx_equiv_compression,primary,P0_lt16,25394,14.857732,3.142268,4.142268,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task055,D,mid_low_score_rule_mining,primary,P2_16p7_17p5,3141,16.947704,1.052296,2.052296,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
