task,file,bytes,sha256,train_examples,arc_gen_examples,test_examples,input_shapes,output_shapes
task001,tasks/task001.json,85526,abdc5be6e0b94368f85dba286e85c67710b811612b88c670daeb2190505b42f5,5,262,1,3x3,9x9
task002,tasks/task002.json,499596,d875f26d40d6d19a0516212c6de5861edce66e213cc7d4062bc3512e1bc2adf7,5,262,1,10x10;11x11;12x12;13x13;14x14;15x15;16x16;17x17;18x18;19x19;20x20;6x6;7x7;8x8;9x9,10x10;11x11;12x12;13x13;14x14;15x15;16x16;17x17;18x18;19x19;20x20;6x6;7x7;8x8;9x9
task003,tasks/task003.json,50384,540700e51259abc1350e9f1c03fbe6a433727e8d424f830f6f277bace2002aab,3,261,1,6x3,9x3
task004,tasks/task004.json,246889,0f61b6744a2fddadda7bb12ad6280fdf205e1c3d87b4ba218cb575f6ad409e15,2,262,1,10x10;10x12;10x13;10x14;10x16;10x8;10x9;11x10;11x11;11x12;11x13;11x14;11x15;11x16;11x8;11x9;12x10;12x11;12x12;12x13;12x14;12x15;12x16;12x8;12x9;13x10;13x11;13x12;13x13;13x14;13x15;13x16;13x8;13x9;14x10;14x11;14x12;14x13;14x14;14x15;14x16;14x8;14x9;15x10;15x11;15x12;15x13;15x14;15x15;15x16;15x8;15x9;16x10;16x11;16x12;16x13;16x14;16x15;16x16;16x9;8x10;8x11;8x12;8x13;8x14;8x15;8x16;8x8;8x9;9x10;9x11;9x12;9x13;9x14;9x15;9x16;9x8;9x9,10x10;10x12;10x13;10x14;10x16;10x8;10x9;11x10;11x11;11x12;11x13;11x14;11x15;11x16;11x8;11x9;12x10;12x11;12x12;12x13;12x14;12x15;12x16;12x8;12x9;13x10;13x11;13x12;13x13;13x14;13x15;13x16;13x8;13x9;14x10;14x11;14x12;14x13;14x14;14x15;14x16;14x8;14x9;15x10;15x11;15x12;15x13;15x14;15x15;15x16;15x8;15x9;16x10;16x11;16x12;16x13;16x14;16x15;16x16;16x9;8x10;8x11;8x12;8x13;8x14;8x15;8x16;8x8;8x9;9x10;9x11;9x12;9x13;9x14;9x15;9x16;9x8;9x9
task005,tasks/task005.json,732864,645f3c745021ef010a74b8143daa4856fc5acbf3a99e6bb22c33de32d50f7c05,3,262,1,21x21,21x21
task006,tasks/task006.json,33816,3774d47604a9be9a1c4b3c41949b0efa690ce48beac350e9ed5075d667127a64,3,262,1,3x7,3x3
task007,tasks/task007.json,92336,636113eac9bba80347c46417f23b9545b2eb57251515e5d69397b19084f87159,3,262,1,7x7,7x7
task008,tasks/task008.json,246742,a9adc1802ca4df9feaabaf33b70539e0613ff26fcd79c971de2609b9181e1edb,3,262,1,10x10;10x11;10x12;10x13;10x14;10x15;10x16;10x8;10x9;11x10;11x11;11x12;11x13;11x14;11x15;11x16;11x8;11x9;12x10;12x11;12x12;12x13;12x14;12x15;12x16;12x8;12x9;13x10;13x11;13x12;13x13;13x14;13x15;13x16;13x8;13x9;14x10;14x11;14x12;14x13;14x14;14x15;14x16;14x8;14x9;15x11;15x12;15x13;15x15;15x16;15x8;15x9;16x10;16x11;16x12;16x13;16x14;16x15;16x16;16x8;16x9;8x10;8x11;8x12;8x13;8x14;8x15;8x16;8x8;8x9;9x10;9x11;9x12;9x13;9x14;9x15;9x16;9x8;9x9,10x10;10x11;10x12;10x13;10x14;10x15;10x16;10x8;10x9;11x10;11x11;11x12;11x13;11x14;11x15;11x16;11x8;11x9;12x10;12x11;12x12;12x13;12x14;12x15;12x16;12x8;12x9;13x10;13x11;13x12;13x13;13x14;13x15;13x16;13x8;13x9;14x10;14x11;14x12;14x13;14x14;14x15;14x16;14x8;14x9;15x11;15x12;15x13;15x15;15x16;15x8;15x9;16x10;16x11;16x12;16x13;16x14;16x15;16x16;16x8;16x9;8x10;8x11;8x12;8x13;8x14;8x15;8x16;8x8;8x9;9x10;9x11;9x12;9x13;9x14;9x15;9x16;9x8;9x9
task009,tasks/task009.json,870037,3c0bef3d8083dbcb6c72d28ea36316b295632f640d6977ae17c1f05b3e4bc898,3,261,1,17x17;20x20;23x23;26x26;29x29,17x17;20x20;23x23;26x26;29x29
task010,tasks/task010.json,144989,354d4542fe9f66e537672860db176ac2864b898612a90aec43d6fc75a03eb4b2,2,262,1,9x9,9x9
task011,tasks/task011.json,212299,5c1dc5359f0d0f9811f20dfef3fffae49a383c095a86352eaee917b3b62defd8,4,262,1,11x11,11x11
task012,tasks/task012.json,248339,d6f468c4a984fa875971a00fed0a714223a224ea2b40b3b5c6bf2390bc07e91a,2,262,1,12x12,12x12
task013,tasks/task013.json,377827,06fb4b2020a4319b631c96bacabe2b48b44c1ec42c1a86785e09dd0d07773655,4,262,1,10x20;10x21;10x22;10x23;10x24;10x25;10x26;10x27;10x29;11x20;11x21;11x22;11x24;11x25;11x26;11x27;11x28;11x29;11x30;12x20;12x21;12x23;12x24;12x25;12x26;12x28;12x30;20x10;20x11;20x12;20x6;20x7;20x8;20x9;21x10;21x11;21x6;21x8;21x9;22x10;22x11;22x12;22x6;22x7;22x8;22x9;23x10;23x11;23x12;23x8;23x9;24x10;24x12;24x6;24x7;24x8;24x9;25x10;25x11;25x12;25x6;25x7;25x8;25x9;26x10;26x11;26x12;26x6;26x7;27x10;27x12;27x6;27x7;27x9;28x10;28x11;28x12;28x6;28x7;28x8;28x9;29x10;29x12;29x6;29x8;29x9;30x10;30x12;30x6;30x7;30x8;30x9;6x20;6x21;6x22;6x23;6x24;6x26;6x28;6x29;6x30;7x21;7x22;7x23;7x25;7x26;7x27;7x28;7x29;7x30;8x20;8x21;8x22;8x24;8x25;8x26;8x27;8x29;8x30;9x20;9x21;9x22;9x23;9x24;9x25;9x26;9x27;9x28;9x29,10x20;10x21;10x22;10x23;10x24;10x25;10x26;10x27;10x29;11x20;11x21;11x22;11x24;11x25;11x26;11x27;11x28;11x29;11x30;12x20;12x21;12x23;12x24;12x25;12x26;12x28;12x30;20x10;20x11;20x12;20x6;20x7;20x8;20x9;21x10;21x11;21x6;21x8;21x9;22x10;22x11;22x12;22x6;22x7;22x8;22x9;23x10;23x11;23x12;23x8;23x9;24x10;24x12;24x6;24x7;24x8;24x9;25x10;25x11;25x12;25x6;25x7;25x8;25x9;26x10;26x11;26x12;26x6;26x7;27x10;27x12;27x6;27x7;27x9;28x10;28x11;28x12;28x6;28x7;28x8;28x9;29x10;29x12;29x6;29x8;29x9;30x10;30x12;30x6;30x7;30x8;30x9;6x20;6x21;6x22;6x23;6x24;6x26;6x28;6x29;6x30;7x21;7x22;7x23;7x25;7x26;7x27;7x28;7x29;7x30;8x20;8x21;8x22;8x24;8x25;8x26;8x27;8x29;8x30;9x20;9x21;9x22;9x23;9x24;9x25;9x26;9x27;9x28;9x29
task014,tasks/task014.json,386534,45a2699bb6c61626e9ce44d5da0578cd5cfe8d493ddc6d10cf644998be61329f,3,262,1,15x15;15x16;15x17;15x19;15x21;15x22;15x23;15x24;15x25;16x15;16x16;16x18;16x19;16x20;16x21;16x22;16x23;16x24;16x25;17x15;17x16;17x17;17x19;17x20;17x21;17x23;17x24;17x25;18x15;18x16;18x17;18x18;18x19;18x20;18x21;18x22;18x23;18x25;19x15;19x16;19x17;19x18;19x19;19x20;19x21;19x22;19x23;19x24;19x25;20x15;20x16;20x17;20x19;20x20;20x21;20x22;20x24;20x25;21x15;21x17;21x18;21x19;21x20;21x21;21x22;21x23;21x25;22x15;22x16;22x17;22x18;22x19;22x20;22x21;22x22;22x23;22x24;23x16;23x17;23x18;23x19;23x20;23x21;23x22;23x23;23x24;24x15;24x16;24x17;24x18;24x19;24x20;24x22;24x23;24x24;24x25;25x15;25x16;25x17;25x19;25x20;25x21;25x23;25x25,10x10;10x11;10x12;10x13;10x5;10x6;10x7;10x8;11x10;11x11;11x5;11x6;11x7;11x8;11x9;12x10;12x11;12x12;12x14;12x5;12x6;12x8;12x9;13x12;13x5;13x7;13x8;13x9;14x10;14x5;15x11;15x5;15x7;15x8;15x9;16x10;16x7;17x6;5x10;5x12;5x14;5x15;5x5;5x6;5x7;5x8;5x9;6x10;6x11;6x12;6x13;6x14;6x17;6x5;6x6;6x7;6x8;6x9;7x10;7x11;7x13;7x14;7x18;7x5;7x6;7x7;7x8;7x9;8x10;8x11;8x12;8x13;8x17;8x5;8x6;8x7;8x8;8x9;9x10;9x13;9x14;9x16;9x5;9x6;9x7;9x8;9x9
task015,tasks/task015.json,144989,3e17484bf1d617f3791a13858b85e3ca161369ce43611b5feb6319a198e3dd86,3,261,1,9x9,9x9
task016,tasks/task016.json,24331,85fe9e0cd407198e3d5152223945e81ba4d597f0900cbc65d988ca2d71c1f283,4,262,1,3x3,3x3
task017,tasks/task017.json,732864,5b055d7a4324adb6d248b9d9a02c44214c3342cf51c8b8df90c68b77a09acf31,3,262,1,21x21,21x21
