"task","valid","gain","base_cost","cost","base_points","points","error","path"
"task001","True","0","286","286","19.344008189180148","19.344008189180148","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task001.onnx"
"task008","True","0.152534876","3195","2743","16.930657633188364","17.083192509062396","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task008.onnx"
"task018","True","0","24360","24360","14.899302278176167","14.899302278176167","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task018.onnx"
"task019","True","0","2503","2503","17.174754708568226","17.174754708568226","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task019.onnx"
"task023","True","0","8222","8222","15.985431232542176","15.985431232542176","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task023.onnx"
"task024","True","0","110","110","20.299519634207584","20.299519634207584","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task024.onnx"
"task056","True","0","34","34","21.473639475383838","21.473639475383838","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task056.onnx"
"task057","True","0","668","668","18.495711826463356","18.495711826463356","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task057.onnx"
"task063","True","0","1706","1706","17.558093271948376","17.558093271948376","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task063.onnx"
"task068","True","0","623","623","18.565453481212547","18.565453481212547","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task068.onnx"
"task076","True","0.00474506","12886","12825","15.536103270301412","15.54084832996103","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task076.onnx"
"task083","True","0","210","210","19.65289246928253","19.65289246928253","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task083.onnx"
"task088","True","0","1872","1872","17.465237342962464","17.465237342962464","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task088.onnx"
"task090","True","0.001308901","3058","3054","16.97448361351099","16.975792514221425","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task090.onnx"
"task097","True","0","910","910","18.186555400489105","18.186555400489105","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task097.onnx"
"task101","True","0","13725","13725","15.473025733622269","15.473025733622269","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task101.onnx"
"task104","True","0","238","238","19.527729326328526","19.527729326328526","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task104.onnx"
"task123","True","0","1342","1342","17.798083682468373","17.798083682468373","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task123.onnx"
"task125","True","0","3463","3463","16.850109455597575","16.850109455597575","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task125.onnx"
"task128","True","0","136","136","20.087345114263947","20.087345114263947","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task128.onnx"
"task131","True","0.025988724","3976","3874","16.711968432223536","16.73795715603306","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task131.onnx"
"task134","True","0","1529","1529","17.667630794070938","17.667630794070938","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task134.onnx"
"task140","True","0","5","5","23.3905620875659","23.3905620875659","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task140.onnx"
"task143","True","0","837","837","18.270175929510525","18.270175929510525","","D:\golf\external_baselines\kaggle_yusuketogashi_2026_neurogolf_baseline_20260709\output\submission_unzipped\task143.onnx"
