task,strategy,old_cost,new_cost,delta_cost,ok,examples_checked,nodes_before,nodes_after,initializers_before,initializers_after,file_size_before,file_size_after,accepted,artifact_path,notes,old_points,new_points
task158,baseline,28483,28483,0,True,266,70,70,40,40,14407,14407,False,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task158.onnx,,,
task158,optimizer,28483,28483,0,True,266,70,70,40,40,14407,14265,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task158.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm",14.742937302942996,14.742937302942996
task158,sim,28483,28483,0,True,266,70,70,40,40,14407,14265,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task158.onnx,onnxsim(input=1x10x30x30),14.742937302942996,14.742937302942996
task158,optimizer_sim,28483,28483,0,True,266,70,70,40,40,14407,14265,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task158.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)",14.742937302942996,14.742937302942996
task286,baseline,26909,26909,0,True,265,2393,2393,46,46,111759,111759,False,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task286.onnx,,,
task286,optimizer,26909,26909,0,True,265,2393,2393,46,46,111759,111759,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task286.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm",14.799783917876258,14.799783917876258
task286,sim,26909,26909,0,True,265,2393,2393,46,46,111759,180771,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\sim\task286.onnx,onnxsim(input=1x10x30x30),14.799783917876258,14.799783917876258
task286,optimizer_sim,26909,26909,0,True,265,2393,2393,46,46,111759,180771,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer_sim\task286.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm;onnxsim(input=1x10x30x30)",14.799783917876258,14.799783917876258
task054,baseline,25394,25394,0,True,266,286,286,45,45,24729,24729,False,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task054.onnx,,,
task054,optimizer,25394,25394,0,True,266,286,286,45,45,24729,24729,False,E:\kongming\NGC-work\workplace C\artifacts\surgery_probes\20260709_155105\optimizer\task054.onnx,"eliminate_deadend,eliminate_identity,eliminate_nop_cast,eliminate_nop_dropout,eliminate_nop_flatten,eliminate_nop_monotone_argmax,eliminate_nop_pad,eliminate_nop_transpose,eliminate_unused_initializer,extract_constant_to_initializer,fuse_add_bias_into_conv,fuse_consecutive_concats,fuse_consecutive_log_softmax,fuse_consecutive_reduce_unsqueeze,fuse_consecutive_squeezes,fuse_consecutive_transposes,fuse_matmul_add_bias_into_gemm,fuse_pad_into_conv,fuse_transpose_into_gemm",14.857731795370263,14.857731795370263
