task,priority_band,assignment_cost,assignment_points,current_cost,current_points,gap_to_25,shape_class,size_trend,color_class,examples,json_bytes,quick_win_score,first_action
task158,P0_lt16,28483,14.742937,28483.0,14.742937,10.257063,same_shape,same_size,input_palette_only,266,767524,79.078723,artifact_cost_scan_then_full_validate
task286,P0_lt16,26909,14.799784,26909.0,14.799784,10.200216,same_shape,same_size,input_palette_only,265,508049,78.444791,artifact_cost_scan_then_full_validate
task054,P0_lt16,25394,14.857732,25394.0,14.857732,10.142268,same_shape,same_size,input_palette_only,266,1475004,77.813581,artifact_cost_scan_then_full_validate
task349,P0_lt16,14892,15.391421,14892.0,15.391421,9.608579,same_shape,same_size,new_output_colors,267,728639,70.200109,artifact_cost_scan_then_full_validate
task364,P0_lt16,20802,15.057196,14642.0,15.408351,9.591649,same_shape,same_size,new_output_colors,266,385210,70.073671,artifact_cost_scan_then_full_validate
task077,P0_lt16,8510,15.951003,7657.0,16.056624,8.943376,same_shape,same_size,new_output_colors,266,512710,65.762137,artifact_cost_scan_then_full_validate
task009,P1_16_16p7,6699,16.190286,6694.0,16.191033,8.808967,same_shape,same_size,input_palette_only,265,870037,56.617789,artifact_cost_scan_then_full_validate
task383,P1_16_16p7,5912,16.315261,5830.0,16.329228,8.670772,same_shape,same_size,input_palette_only,266,539334,55.740533,artifact_cost_scan_then_full_validate
task382,P1_16_16p7,5702,16.351428,5695.0,16.352656,8.647344,same_shape,same_size,input_palette_only,266,374724,55.595862,artifact_cost_scan_then_full_validate
task096,P1_16_16p7,7678,16.053886,7678.0,16.053886,8.946114,shape_change,shrink,input_palette_only,266,289459,54.318003,artifact_cost_scan_then_full_validate
task165,P1_16_16p7,4814,16.520716,4544.0,16.578437,8.421563,same_shape,same_size,input_palette_only,265,663859,54.258138,artifact_cost_scan_then_full_validate
task132,P1_16_16p7,4089,16.683944,3652.0,16.79697,8.20303,same_shape,same_size,input_palette_only,267,192145,53.053556,artifact_cost_scan_then_full_validate
task278,P1_16_16p7,5010,16.480809,4505.0,16.587057,8.412943,same_shape,same_size,new_output_colors,265,453771,52.866623,artifact_cost_scan_then_full_validate
task378,P1_16_16p7,4426,16.604748,3091.0,16.96375,8.03625,same_shape,same_size,input_palette_only,267,158175,52.188144,artifact_cost_scan_then_full_validate
task284,P2_16p7_17p5,3608,16.809091,3089.0,16.964397,8.035603,same_shape,same_size,input_palette_only,266,239632,42.18487,defer_until_p0p1_done
task069,P2_16p7_17p5,3905,16.729987,2949.0,17.010779,7.989221,same_shape,same_size,input_palette_only,264,175594,41.951959,defer_until_p0p1_done
task190,P2_16p7_17p5,2525,17.166004,2427.0,17.205589,7.794411,same_shape,same_size,input_palette_only,266,176924,41.007928,defer_until_p0p1_done
task094,P2_16p7_17p5,2703,17.097882,2677.0,17.107548,7.892452,same_shape,same_size,new_output_colors,265,380309,40.44148,defer_until_p0p1_done
task201,P2_16p7_17p5,3349,16.883583,3046.0,16.978415,8.021585,shape_change,shrink,input_palette_only,266,179422,40.090478,defer_until_p0p1_done
task224,P2_16p7_17p5,2829,17.052321,1886.0,17.457787,7.542213,same_shape,same_size,input_palette_only,266,309676,39.861518,defer_until_p0p1_done
task237,P2_16p7_17p5,1836,17.484655,1836.0,17.484655,7.515345,same_shape,same_size,input_palette_only,266,69092,39.744032,defer_until_p0p1_done
task091,P2_16p7_17p5,3013,16.989308,2764.0,17.075566,7.924434,shape_change,shrink,input_palette_only,266,168716,39.704277,defer_until_p0p1_done
task392,P2_16p7_17p5,1941,17.429041,1941.0,17.429041,7.570959,same_shape,same_size,new_output_colors,266,176924,39.107028,defer_until_p0p1_done
task381,P2_16p7_17p5,2064,17.367599,1753.0,17.530916,7.469084,same_shape,same_size,new_output_colors,265,176259,38.706364,defer_until_p0p1_done
task046,P2_16p7_17p5,2279,17.268508,2085.0,17.357476,7.642524,shape_change,shrink,input_palette_only,267,67450,38.63358,defer_until_p0p1_done
task335,P2_16p7_17p5,3133,16.950254,1380.0,17.770161,7.229839,same_shape,same_size,new_output_colors,266,373784,37.803029,defer_until_p0p1_done
task388,P2_16p7_17p5,2190,17.308343,1829.0,17.488475,7.511525,shape_change,grow,new_output_colors,266,86472,37.589058,defer_until_p0p1_done
task061,P3_ge17p5,1668,17.580619,1668.0,17.580619,7.419381,same_shape,same_size,input_palette_only,267,544981,29.331288,defer_until_p0p1_done
task075,P3_ge17p5,1487,17.695484,1487.0,17.695484,7.304516,same_shape,same_size,input_palette_only,265,202229,28.850812,defer_until_p0p1_done
