task,archive_cost,parent_cost,archive_valid,compliance_hold,source_path,candidate_path,changes,status,candidate_task,candidate_ok,candidate_valid_all_checked,candidate_examples_checked,candidate_examples_passed,candidate_examples_failed,candidate_memory,candidate_params,candidate_cost,candidate_points,candidate_file_size,candidate_sha256,candidate_error,delta_vs_archive,delta_vs_parent,accepted_derived
task002,14285,14285,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task002.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task002.onnx,,unchanged,,,,,,,,,,,,,,,,
task009,6694,6585,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task009.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task009.onnx,,unchanged,,,,,,,,,,,,,,,,
task010,1002,1002,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task010.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task010.onnx,,unchanged,,,,,,,,,,,,,,,,
task015,900,900,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task015.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task015.onnx,,unchanged,,,,,,,,,,,,,,,,
task020,1019,1256,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task020.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task020.onnx,,unchanged,,,,,,,,,,,,,,,,
task028,99,168,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task028.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task028.onnx,,unchanged,,,,,,,,,,,,,,,,
task029,5288,5284,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task029.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task029.onnx,,unchanged,,,,,,,,,,,,,,,,
task030,1460,1803,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task030.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task030.onnx,,unchanged,,,,,,,,,,,,,,,,
task032,910,910,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task032.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task032.onnx,,unchanged,,,,,,,,,,,,,,,,
task036,1051,1589,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task036.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task036.onnx,,unchanged,,,,,,,,,,,,,,,,
task041,460,1787,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task041.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task041.onnx,,unchanged,,,,,,,,,,,,,,,,
task045,90,1673,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task045.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task045.onnx,,unchanged,,,,,,,,,,,,,,,,
task046,2085,2069,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task046.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task046.onnx,crop_conv:1,rejected,task046,True,True,267,267,0,1999,76,2075,17.3622835673352,6504,c10932a2512f3669bfc2df6415c01bd8c28369983c3e5db8d487513cc38d521c,,10,-6,False
task047,862,862,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task047.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task047.onnx,,unchanged,,,,,,,,,,,,,,,,
task052,30,194,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task052.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task052.onnx,,unchanged,,,,,,,,,,,,,,,,
task054,25144,25392,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task054.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task054.onnx,,unchanged,,,,,,,,,,,,,,,,
task055,1856,1856,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task055.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task055.onnx,,unchanged,,,,,,,,,,,,,,,,
task061,1668,1668,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task061.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task061.onnx,,unchanged,,,,,,,,,,,,,,,,
task065,598,638,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task065.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task065.onnx,,unchanged,,,,,,,,,,,,,,,,
task069,2949,2916,True,True,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task069.onnx,E:\kongming\NGC-work\workplace C\artifacts\cd_archive_one_round\task069.onnx,crop_conv:1,rejected,task069,True,True,264,264,0,2864,55,2919,17.021003629145884,2844,34a593a6656a2e550a88922ef3a60dcbc2b9ff1253af3a247b27a5a1fa537b9c,,30,-3,False
