task,archive_path,parent_path,archive_method_family,transfer_hint,source_policy,archive_nodes,archive_initializers,archive_initializer_elements,archive_constant_elements,archive_parameter_elements_static,archive_terminal_op,archive_op_types,archive_opset,archive_file_size,parent_nodes,parent_initializers,parent_initializer_elements,parent_constant_elements,parent_parameter_elements_static,parent_terminal_op,parent_op_types,parent_opset,parent_file_size,archive_score_task,archive_score_path,archive_score_ok,archive_score_valid_all_checked,archive_score_examples_checked,archive_score_examples_passed,archive_score_examples_failed,archive_score_memory,archive_score_params,archive_score_cost,archive_score_points,archive_score_file_size,archive_score_sha256,archive_score_error,parent_score_task,parent_score_path,parent_score_ok,parent_score_valid_all_checked,parent_score_examples_checked,parent_score_examples_passed,parent_score_examples_failed,parent_score_memory,parent_score_params,parent_score_cost,parent_score_points,parent_score_file_size,parent_score_sha256,parent_score_error,archive_minus_parent_cost,archive_lower_and_valid
task001,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task001.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task001.onnx,single_terminal_einsum,rederive_rule_as_one_direct_output_einsum,analysis_only_do_not_copy_or_submit_archive_model,1,2,190,0,190,Einsum,Einsum:1,13,977,1,2,190,0,190,Einsum,Einsum:1,13,977,task001,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task001.onnx,True,True,268,268,0,0,190,190,19.752975927839515,977,3b216bf603d1bf6bacdaa9bff5078321266904b8c4d94cd251c63df79ea109d8,,task001,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task001.onnx,True,True,268,268,0,0,190,190,19.752975927839515,977,3b216bf603d1bf6bacdaa9bff5078321266904b8c4d94cd251c63df79ea109d8,,0,False
task002,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task002.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task002.onnx,bitpacked_state_logic,pack_boolean_state_before_spatial_materialization,analysis_only_do_not_copy_or_submit_archive_model,143,21,225,0,225,Where,BitShift:27;BitwiseAnd:32;BitwiseOr:47;BitwiseXor:2;Cast:2;Einsum:1;Gather:28;Pad:1;Slice:1;Unsqueeze:1;Where:1,18,12833,143,21,225,0,225,Where,BitShift:27;BitwiseAnd:32;BitwiseOr:47;BitwiseXor:2;Cast:2;Einsum:1;Gather:28;Pad:1;Slice:1;Unsqueeze:1;Where:1,18,12833,task002,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task002.onnx,True,True,268,268,0,14060,225,14285,15.433034685335127,12833,d97c7d47649ea943c35c7062a4e257c0fe467a4fc308c6df870ddabf94f39e94,,task002,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task002.onnx,True,True,268,268,0,14060,225,14285,15.433034685335127,12833,d97c7d47649ea943c35c7062a4e257c0fe467a4fc308c6df870ddabf94f39e94,,0,False
task003,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task003.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task003.onnx,bitpacked_state_logic,pack_boolean_state_before_spatial_materialization,analysis_only_do_not_copy_or_submit_archive_model,17,8,33,0,33,ConvInteger,And:2;BitwiseXor:1;Cast:1;Concat:2;ConvInteger:1;Equal:1;Gather:4;Slice:1;Split:1;Where:3,18,1309,16,12,39,0,39,ConvInteger,And:2;Cast:1;Concat:1;ConvInteger:1;Equal:1;Gather:4;QLinearConv:1;Slice:1;Split:1;Where:3,18,1442,task003,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task003.onnx,True,True,265,265,0,227,33,260,19.439318368984473,1309,aafbad07e8d682d538c1dce9a95646f6c6f10c46bdab18dfa205ae42028ae95b,,task003,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task003.onnx,True,True,265,265,0,200,39,239,19.52353644806849,1442,4394bab28a9345e184cc55d896067714310c15c37c444e5430f2400bb67d658c,,21,False
task004,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task004.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task004.onnx,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,analysis_only_do_not_copy_or_submit_archive_model,16,9,94,0,94,Equal,Cast:2;Conv:1;Equal:1;Gather:3;Greater:1;Less:1;Max:1;Pad:1;ReduceMax:1;Where:3;Xor:1,13,1433,16,9,94,0,94,Equal,Cast:2;Conv:1;Equal:1;Gather:3;Greater:1;Less:1;Max:1;Pad:1;ReduceMax:1;Where:3;Xor:1,13,1433,task004,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task004.onnx,True,True,265,265,0,4772,94,4866,16.509972476656532,1433,dcd99dba776b71d86ab54a7d7d9b008d8fe7b9cda264d5347d3458bcfdf84409,,task004,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task004.onnx,True,True,265,265,0,4772,94,4866,16.509972476656532,1433,dcd99dba776b71d86ab54a7d7d9b008d8fe7b9cda264d5347d3458bcfdf84409,,0,False
task005,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task005.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task005.onnx,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,analysis_only_do_not_copy_or_submit_archive_model,40,14,78,0,78,Equal,Add:2;ArgMax:2;Cast:3;Concat:9;Conv:1;Equal:1;Greater:1;MaxPool:1;Pad:1;QLinearConv:1;ReduceMax:2;Slice:3;Split:4;Sub:1;Where:8,13,6353,78,49,718,0,718,Equal,Add:11;And:3;ArgMax:1;Cast:5;Concat:2;Conv:1;Div:1;Equal:1;Gather:4;GreaterOrEqual:2;LessOrEqual:2;Min:2;Mul:4;Pad:1;QLinearConv:2;ReduceMax:9;Reshape:14;ScatterElements:1;Slice:10;Sub:1;Tile:1,18,7044,task005,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task005.onnx,True,True,266,266,0,4079,78,4157,16.66745106074736,6353,0911bcaf522e6044ed7924331e0ccf1cfd7a3adecbc12b7fd04532a7997b4dee,,task005,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task005.onnx,True,True,266,266,0,5923,718,6641,16.198982166459288,7044,1884fd43cc34f02bd93f395d3c02f1ac37b39ce65877aae6e7cf7f32fb2a8ff6,,-2484,True
task006,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task006.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task006.onnx,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,analysis_only_do_not_copy_or_submit_archive_model,2,2,30,0,30,Conv,Conv:2,13,465,2,2,60,0,60,Conv,Conv:2,18,540,task006,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task006.onnx,True,True,266,266,0,36,30,66,20.810345257973573,465,f7530ce4c633666fc0e3bebbba341bac2b36b9eaa0a34ad1083de9a9ea96098d,,task006,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task006.onnx,True,True,266,266,0,36,60,96,20.435651808532164,540,ce536da9e4bd3264537be27cb1c8061c499916b674dbd4ab4f3d2bdd49240343,,-30,True
task007,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task007.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task007.onnx,single_terminal_einsum,rederive_rule_as_one_direct_output_einsum,analysis_only_do_not_copy_or_submit_archive_model,1,3,127,0,127,Einsum,Einsum:1,12,840,1,3,127,0,127,Einsum,Einsum:1,12,840,task007,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task007.onnx,True,True,266,266,0,0,127,127,20.15581291354141,840,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,,task007,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task007.onnx,True,True,266,266,0,0,127,127,20.15581291354141,840,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,,0,False
task008,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task008.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task008.onnx,reduction_mask_logic,inspect_constant_and_shape_control_compression,analysis_only_do_not_copy_or_submit_archive_model,107,19,89,0,89,Equal,Add:10;Cast:13;Concat:7;Einsum:4;Equal:1;Floor:8;Greater:2;Less:2;Log:8;Max:1;Mul:8;Pad:3;ReduceSum:2;Reshape:8;Slice:8;Sub:16;Where:6,13,7009,99,19,89,0,89,Equal,Add:10;Cast:13;Concat:7;Einsum:4;Equal:1;Greater:2;Less:2;Log:8;Max:1;Mul:8;Pad:3;ReduceSum:2;Reshape:8;Slice:8;Sub:16;Where:6,13,6594,task008,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task008.onnx,True,True,266,266,0,2654,89,2743,17.083192509062396,7009,e66d88084736e122ba21e47a495c82894d22ca03dafb790748455fa9abab739b,,task008,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task008.onnx,True,True,266,266,0,2622,89,2711,17.094927150501334,6594,35504af6170ec0b18b70b733c612f705af9ba88628fae58d5216db972e5823ab,,32,False
task009,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task009.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task009.onnx,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,analysis_only_do_not_copy_or_submit_archive_model,23,15,165,0,165,Equal,ArgMax:1;Cast:6;Concat:1;Conv:1;DepthToSpace:1;Einsum:2;Equal:2;Max:2;Pad:2;Slice:3;Where:2,17,2039,22,18,156,0,156,Equal,ArgMax:1;Cast:5;Concat:1;Conv:1;DepthToSpace:1;Einsum:2;Equal:3;Max:2;Pad:2;Slice:3;Where:1,18,2097,task009,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task009.onnx,True,True,265,265,0,6529,165,6694,16.191033118228727,2039,2418667851ab6ace305a5979282c1008697868a082dfb446722d366d31574008,,task009,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task009.onnx,True,True,265,265,0,6429,156,6585,16.207450385822618,2097,aefb7816e4cfea72589dda23a3ea9f74e3c88c51f1ca4dff703662f6463bc697,,109,False
task010,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task010.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task010.onnx,reduction_mask_logic,inspect_constant_and_shape_control_compression,analysis_only_do_not_copy_or_submit_archive_model,21,11,332,0,332,Less,Cast:4;Concat:3;Einsum:1;Equal:1;Greater:1;Less:1;Pad:1;ReduceSum:1;Slice:1;Split:2;Sub:1;Unsqueeze:3;Where:1,12,1491,21,11,332,0,332,Less,Cast:4;Concat:3;Einsum:1;Equal:1;Greater:1;Less:1;Pad:1;ReduceSum:1;Slice:1;Split:2;Sub:1;Unsqueeze:3;Where:1,12,1491,task010,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task010.onnx,True,True,265,265,0,670,332,1002,18.09024671835519,1491,3f065a8894aa271eaf4c83431e8eb7933593a175bc744ed18abe31795ba8a1bd,,task010,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task010.onnx,True,True,265,265,0,670,332,1002,18.09024671835519,1491,3f065a8894aa271eaf4c83431e8eb7933593a175bc744ed18abe31795ba8a1bd,,0,False
task011,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task011.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task011.onnx,terminal_einsum,fuse_shape_or_mask_selection_into_terminal_einsum,analysis_only_do_not_copy_or_submit_archive_model,5,4,254,0,254,Einsum,Einsum:3;Sub:2,21,1525,5,4,254,0,254,Einsum,Einsum:3;Sub:2,21,1525,task011,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task011.onnx,True,True,267,267,0,64,254,318,19.23794861721982,1525,df7ddffdefd8d1f168424610c67e41dcbc66e7251fc7d35e61f2aa883f311ad9,,task011,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task011.onnx,True,True,267,267,0,64,254,318,19.23794861721982,1525,df7ddffdefd8d1f168424610c67e41dcbc66e7251fc7d35e61f2aa883f311ad9,,0,False
task012,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task012.onnx,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task012.onnx,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,analysis_only_do_not_copy_or_submit_archive_model,28,16,188,0,188,Equal,Add:3;ArgMax:2;Cast:5;Concat:4;Div:1;Einsum:1;Equal:1;Flatten:1;Gather:2;Mul:1;Pad:1;Reshape:2;ScatterElements:1;Slice:1;TopK:1;Unsqueeze:1,12,2240,28,16,188,0,188,Equal,Add:3;ArgMax:2;Cast:5;Concat:4;Div:1;Einsum:1;Equal:1;Flatten:1;Gather:2;Mul:1;Pad:1;Reshape:2;ScatterElements:1;Slice:1;TopK:1;Unsqueeze:1,12,2240,task012,E:\kongming\NGC-work\workplace C\neurogolf-2026-work\data\external\neurogolf7300_archive\onnx\task012.onnx,True,True,265,265,0,2063,188,2251,17.28087015909327,2240,4696a6d5e8de2cf4cd34839a89ef503275e80ad6ad0c722deaf67971122976c6,,task012,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task012.onnx,True,True,265,265,0,2063,188,2251,17.28087015909327,2240,4696a6d5e8de2cf4cd34839a89ef503275e80ad6ad0c722deaf67971122976c6,,0,False
