task,parent_path,candidate_path,attempted,source_policy,parent_nodes,parent_initializers,parent_initializer_elements,variant_count,opportunities,status,parent_score_task,parent_score_path,parent_score_ok,parent_score_valid_all_checked,parent_score_examples_checked,parent_score_examples_passed,parent_score_examples_failed,parent_score_memory,parent_score_params,parent_score_cost,parent_score_points,parent_score_file_size,parent_score_sha256,parent_score_error,errors,candidate_task,candidate_ok,candidate_valid_all_checked,candidate_examples_checked,candidate_examples_passed,candidate_examples_failed,candidate_memory,candidate_params,candidate_cost,candidate_points,candidate_file_size,candidate_sha256,candidate_error,candidate_graph_nodes,candidate_graph_initializers,candidate_graph_initializer_elements,selected_variant,selected_changes,delta_cost,delta_points,accepted
task001,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task001.onnx,,True,parent_only_no_archive,1,2,190,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task002,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task002.onnx,,True,parent_only_no_archive,143,21,225,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task003,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task003.onnx,,True,parent_only_no_archive,16,12,39,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task004,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task004.onnx,,True,parent_only_no_archive,16,9,94,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task005,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task005.onnx,,True,parent_only_no_archive,78,49,718,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task006,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task006.onnx,,True,parent_only_no_archive,2,2,60,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task007,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task007.onnx,,True,parent_only_no_archive,1,3,127,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task008,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task008.onnx,E:\kongming\NGC-work\workplace C\artifacts\all399_parent_micro_sweep\task008\combined.onnx,True,parent_only_no_archive,99,19,89,1,combined=optional_defaults:2,valid_no_cost_gain,task008,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task008.onnx,True,True,266,266,0,2622,89,2711,17.094927150501334,6594,35504af6170ec0b18b70b733c612f705af9ba88628fae58d5216db972e5823ab,,,task008,True,True,266,266,0,2622,89,2711,17.094927150501334,6613,f6baea9232f96b009d44d9adefa718315d05f11da2a91f31ae6c1b1823256523,,99,19,89,combined,optional_defaults:2,0,0.0,False
task009,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task009.onnx,E:\kongming\NGC-work\workplace C\artifacts\all399_parent_micro_sweep\task009.onnx,True,parent_only_no_archive,22,18,156,1,combined=init_cleanup:3,accepted,task009,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task009.onnx,True,True,265,265,0,6429,156,6585,16.207450385822618,2097,aefb7816e4cfea72589dda23a3ea9f74e3c88c51f1ca4dff703662f6463bc697,,,task009,True,True,265,265,0,6429,152,6581,16.208058011543883,1952,a19d29173b864a5a02c7946d0dfd9584afca1fadc6ef490a9f3f452b79a365d2,,22,15,152,combined,init_cleanup:3,4,0.0006076257212654923,True
task010,E:\kagglegolf\submissions\candidates\GOLF_20260713_C5_05\onnx\task010.onnx,,True,parent_only_no_archive,21,11,332,0,,attempted_no_structural_opportunity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
