task,group,priority,route,status,frozen,parent_package_sha,parent_model_sha,parent_memory,parent_params,parent_cost,parent_points,parent_valid,archive_present,archive_valid,archive_sha,archive_memory,archive_params,archive_cost,method_family,archive_transfer_hint,current_winner_source,winner_in_parent,examples_checked,examples_passed,output_shape_rule,input_colors,new_output_colors,rule_category,candidate_name,candidate_sha,candidate_memory,candidate_params,candidate_cost,delta_cost,delta_points,accepted,artifact_path,provenance,rejection_reason,notes
task004,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,dcd99dba776b71d86ab54a7d7d9b008d8fe7b9cda264d5347d3458bcfdf84409,4772,94,4866,16.509972476656532,true,true,true,dcd99dba776b71d86ab54a7d7d9b008d8fe7b9cda264d5347d3458bcfdf84409,4772,94,4866,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,265,265,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task005,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,0911bcaf522e6044ed7924331e0ccf1cfd7a3adecbc12b7fd04532a7997b4dee,4079,78,4157,16.66745106074736,true,true,true,0911bcaf522e6044ed7924331e0ccf1cfd7a3adecbc12b7fd04532a7997b4dee,4079,78,4157,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,266,266,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task014,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,5708d9056915de3402459e5b2cea8454a84d39dbecbe9fc2be4804e92f3ed9fe,4016,81,4097,16.681989722453128,true,true,true,5708d9056915de3402459e5b2cea8454a84d39dbecbe9fc2be4804e92f3ed9fe,4016,81,4097,bitpacked_state_logic,pack_boolean_state_before_spatial_materialization,batch13_parent,true,266,266,shape_change,0;1;2;3;4;5;6;7;8;9,,shape_change,,,,,,,,false,,batch13_parent_remeasured,,
task017,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,611d383bff27797717269b900f3b84ea496ccc1f52e10daeaee74bc890b37d7a,4749,1704,6453,16.22769958206416,true,true,true,611d383bff27797717269b900f3b84ea496ccc1f52e10daeaee74bc890b37d7a,4749,1704,6453,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,batch13_parent,true,266,266,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task148,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,65af8225eda67c74b5d30a79a1d51fe5f545dcf9fda58928d3e7071d5a0540bd,4635,252,4887,16.505666102729847,true,true,true,7930e3962bbbb169e17d22e30114d35fe6bf44db37814fcdf2a44162c107939e,4635,252,4887,gather_scatter_relayout,derive_direct_coordinate_mapping_or_terminal_gather,batch13_parent,true,266,266,same_shape,0;2;8,4,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task187,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,71f5e0811c117de003029310efe474b0c5152e1b43a750736c3fe235e224b4a3,15285,505,15790,15.332867892750313,true,true,true,71f5e0811c117de003029310efe474b0c5152e1b43a750736c3fe235e224b4a3,15285,505,15790,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,266,266,same_shape,0;1;4;5;6;7;8;9,2;3,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task196,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,b5cbc3bbb1b76f5bde36015b01705b96383632a2abe0b81c3f7b1953b390bc06,4500,36,4536,16.580199154592414,true,true,true,b5cbc3bbb1b76f5bde36015b01705b96383632a2abe0b81c3f7b1953b390bc06,4500,36,4536,quantized_local_detection,derive_integer_margin_and_crop_local_kernel_support,batch13_parent,true,266,266,same_shape,0;1,3,same_shape_new_colors,,,,,,,,false,,batch13_parent_remeasured,,
task202,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,f88b273a4f17da68fec200b8c3666dd48e3d20668043d7b7fb6f22497d1f094e,1993,30,2023,17.387663162832254,true,true,true,f88b273a4f17da68fec200b8c3666dd48e3d20668043d7b7fb6f22497d1f094e,1993,30,2023,reduction_mask_logic,rederive_rule_with_fewer_materialized_intermediates,batch13_parent,true,230,230,same_shape,0;1;2;3;4;5;6;7;8;9,,same_shape_input_palette,,,,,,,,false,,batch13_parent_remeasured,,
task233,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,95d7bc0568f23deca46bca05d8eda03dc113259e71d1d169cd087b3165bea958,29965,419,30384,14.678328566947933,true,true,true,c2129e85f2bb891b200421f885133416bd455b2857b7f3810bac8d675e860d56,31272,739,32011,conv_local_detection,derive_minimal_local_kernel_and_remove_zero_halo,batch13_parent,true,266,266,shape_change,0;1;2;3;4;5;6;7;8;9,,shape_change,,,,,,,,false,,batch13_parent_remeasured,,
task319,A,P0,shape_relayout_scalar_location_direct_output,profiled_pending_candidates,false,346129a9e05f2a30d303eaa2d9b8f0a052cdccb57715c3fba12284c3061f2da9,5df0de2e9e52ba143be115613efaa645621ffc6664611985e40f136c0a5fba41,5674,159,5833,16.328713273246365,true,true,true,5df0de2e9e52ba143be115613efaa645621ffc6664611985e40f136c0a5fba41,5674,159,5833,bitpacked_state_logic,pack_boolean_state_before_spatial_materialization,batch13_parent,true,267,267,shape_change,1;2;3;4;5;6;7;8;9,,shape_change,,,,,,,,false,,batch13_parent_remeasured,,
