name,group,kernel,pad_top,pad_left,failed_channels,conflicting_windows,margin_errors,status,parameter_cost
g2_k4_p00,2,4,0,0,0 4 7,256,0,failed,810
g2_k4_p01,2,4,0,1,0 4 7,203,0,failed,810
g2_k4_p02,2,4,0,2,0 4 7,217,0,failed,810
g2_k4_p03,2,4,0,3,0 4 7,256,0,failed,810
g2_k4_p10,2,4,1,0,0 4 7,209,0,failed,810
g2_k4_p11,2,4,1,1,7,35,0,failed,810
g2_k4_p12,2,4,1,2,7,36,0,failed,810
g2_k4_p13,2,4,1,3,0 4 7,217,0,failed,810
g2_k4_p20,2,4,2,0,0 4 7,209,0,failed,810
g2_k4_p21,2,4,2,1,7,37,0,failed,810
g2_k4_p22,2,4,2,2,7,36,0,failed,810
g2_k4_p23,2,4,2,3,0 4 7,227,0,failed,810
g2_k4_p30,2,4,3,0,0 4 7,253,0,failed,810
g2_k4_p31,2,4,3,1,0 4 7,196,0,failed,810
g2_k4_p32,2,4,3,2,0 4 7,201,0,failed,810
g2_k4_p33,2,4,3,3,0 4 7,251,0,failed,810
g2_k5_p00,2,5,0,0,0 4 7,438,0,failed,1260
g2_k5_p01,2,5,0,1,0 4 7,346,0,failed,1260
g2_k5_p02,2,5,0,2,0 4 7,356,0,failed,1260
g2_k5_p03,2,5,0,3,0 4 7,334,0,failed,1260
g2_k5_p04,2,5,0,4,0 4 7,444,0,failed,1260
g2_k5_p10,2,5,1,0,0 4 7,336,0,failed,1260
g2_k5_p11,2,5,1,1,7,58,0,failed,1260
g2_k5_p12,2,5,1,2,7,56,0,failed,1260
g2_k5_p13,2,5,1,3,7,55,0,failed,1260
g2_k5_p14,2,5,1,4,0 4 7,345,0,failed,1260
g2_k5_p20,2,5,2,0,0 4 7,350,0,failed,1260
g2_k5_p21,2,5,2,1,7,63,0,failed,1260
g2_k5_p22,2,5,2,2,7,64,0,failed,1260
g2_k5_p23,2,5,2,3,7,62,0,failed,1260
g2_k5_p24,2,5,2,4,0 4 7,354,0,failed,1260
g2_k5_p30,2,5,3,0,0 4 7,351,0,failed,1260
g2_k5_p31,2,5,3,1,7,64,0,failed,1260
g2_k5_p32,2,5,3,2,7,63,0,failed,1260
g2_k5_p33,2,5,3,3,7,63,0,failed,1260
g2_k5_p34,2,5,3,4,0 4 7,366,0,failed,1260
g2_k5_p40,2,5,4,0,0 4 7,438,0,failed,1260
g2_k5_p41,2,5,4,1,0 4 7,360,0,failed,1260
g2_k5_p42,2,5,4,2,0 4 7,344,0,failed,1260
g2_k5_p43,2,5,4,3,0 4 7,344,0,failed,1260
g2_k5_p44,2,5,4,4,0 4 7,419,0,failed,1260
g5_k4_p00,5,4,0,0,0 4 7,136,0,failed,330
g5_k4_p01,5,4,0,1,0 4 7,128,0,failed,330
g5_k4_p02,5,4,0,2,0 4 7,135,0,failed,330
g5_k4_p03,5,4,0,3,0 4 7,141,0,failed,330
g5_k4_p10,5,4,1,0,0 4 7,131,0,failed,330
g5_k4_p11,5,4,1,1,0 4 7,96,0,failed,330
g5_k4_p12,5,4,1,2,0 4 7,94,0,failed,330
g5_k4_p13,5,4,1,3,0 4 7,128,0,failed,330
g5_k4_p20,5,4,2,0,0 4 7,126,0,failed,330
g5_k4_p21,5,4,2,1,0 4 7,95,0,failed,330
g5_k4_p22,5,4,2,2,0 4 7,93,0,failed,330
g5_k4_p23,5,4,2,3,0 4 7,131,0,failed,330
g5_k4_p30,5,4,3,0,0 4 7,134,0,failed,330
g5_k4_p31,5,4,3,1,0 4 7,127,0,failed,330
g5_k4_p32,5,4,3,2,0 4 7,124,0,failed,330
g5_k4_p33,5,4,3,3,0 4 7,131,0,failed,330
g5_k5_p00,5,5,0,0,0 4 7,274,0,failed,510
g5_k5_p01,5,5,0,1,0 4 7,250,0,failed,510
g5_k5_p02,5,5,0,2,0 4 7,242,0,failed,510
g5_k5_p03,5,5,0,3,0 4 7,240,0,failed,510
g5_k5_p04,5,5,0,4,0 4 7,261,0,failed,510
g5_k5_p10,5,5,1,0,0 4 7,234,0,failed,510
g5_k5_p11,5,5,1,1,0 4 7,159,0,failed,510
g5_k5_p12,5,5,1,2,0 4 7,153,0,failed,510
g5_k5_p13,5,5,1,3,0 4 7,158,0,failed,510
g5_k5_p14,5,5,1,4,0 4 7,236,0,failed,510
g5_k5_p20,5,5,2,0,0 4 7,237,0,failed,510
g5_k5_p21,5,5,2,1,0 4 7,161,0,failed,510
g5_k5_p22,5,5,2,2,0 4 7,143,0,failed,510
g5_k5_p23,5,5,2,3,0 4 7,152,0,failed,510
g5_k5_p24,5,5,2,4,0 4 7,231,0,failed,510
g5_k5_p30,5,5,3,0,0 4 7,240,0,failed,510
g5_k5_p31,5,5,3,1,0 4 7,162,0,failed,510
g5_k5_p32,5,5,3,2,0 4 7,148,0,failed,510
g5_k5_p33,5,5,3,3,0 4 7,153,0,failed,510
g5_k5_p34,5,5,3,4,0 4 7,241,0,failed,510
g5_k5_p40,5,5,4,0,0 4 7,256,0,failed,510
g5_k5_p41,5,5,4,1,0 4 7,249,0,failed,510
g5_k5_p42,5,5,4,2,0 4 7,225,0,failed,510
g5_k5_p43,5,5,4,3,0 4 7,238,0,failed,510
g5_k5_p44,5,5,4,4,0 4 7,235,0,failed,510
