name,kernel1,dilation1,kernel2,dilation2,radius_sum,passed,mismatch_cells
k7d1_k3d2,7,1,3,2,5,227,294
k7d1_k5d1,7,1,5,1,5,227,458
k3d2_k7d1,3,2,7,1,5,218,232
k7d1_k7d1,7,1,7,1,6,217,606
k5d1_k7d1,5,1,7,1,5,216,254
k5d2_k3d1,5,2,3,1,5,196,922
k9d1_k3d1,9,1,3,1,5,196,928
k9d1_k3d2,9,1,3,2,6,196,932
k5d2_k5d1,5,2,5,1,6,196,1140
k9d1_k5d1,9,1,5,1,6,196,1146
k5d2_k7d1,5,2,7,1,7,196,1316
k9d1_k7d1,9,1,7,1,7,196,1318
k3d2_k9d1,3,2,9,1,6,193,684
k3d1_k5d2,3,1,5,2,5,192,706
k3d1_k9d1,3,1,9,1,5,192,706
k5d2_k9d1,5,2,9,1,8,191,1482
k5d1_k5d2,5,1,5,2,6,190,728
k5d1_k9d1,5,1,9,1,6,190,728
k7d1_k5d2,7,1,5,2,7,190,914
k7d1_k9d1,7,1,9,1,7,190,990
k9d1_k5d2,9,1,5,2,8,190,1250
k9d1_k9d1,9,1,9,1,8,190,1504
k11d1_k3d1,11,1,3,1,6,180,1422
k11d1_k3d2,11,1,3,2,7,180,1522
k11d1_k5d1,11,1,5,1,7,180,1634
k11d1_k7d1,11,1,7,1,8,180,1818
k11d1_k5d2,11,1,5,2,9,178,1780
k11d1_k9d1,11,1,9,1,9,178,1960
k3d1_k11d1,3,1,11,1,6,173,1232
k3d2_k11d1,3,2,11,1,7,170,1214
k5d1_k11d1,5,1,11,1,7,170,1274
k5d2_k11d1,5,2,11,1,9,170,1750
k7d1_k11d1,7,1,11,1,8,169,1488
k9d1_k11d1,9,1,11,1,9,169,1796
k7d2_k3d1,7,2,3,1,7,163,1872
k13d1_k3d1,13,1,3,1,7,163,1890
k13d1_k3d2,13,1,3,2,8,163,1990
k7d2_k5d1,7,2,5,1,8,163,2084
k13d1_k5d1,13,1,5,1,8,163,2102
k7d2_k7d1,7,2,7,1,9,163,2256
k13d1_k7d1,13,1,7,1,9,163,2280
k3d1_k7d2,3,1,7,2,7,160,1698
k3d1_k13d1,3,1,13,1,7,160,1698
k3d2_k13d1,3,2,13,1,8,159,1702
k5d1_k7d2,5,1,7,2,8,159,1744
k5d1_k13d1,5,1,13,1,8,159,1744
k7d1_k7d2,7,1,7,2,9,159,1854
k7d1_k13d1,7,1,13,1,9,159,1916
k9d2_k3d1,9,2,3,1,9,139,2706
k3d1_k9d2,3,1,9,2,9,135,2590
k5d2_k3d2,5,2,3,2,6,22,2558
k5d2_k5d2,5,2,5,2,8,22,2792
k3d2_k7d2,3,2,7,2,8,22,3138
k7d2_k3d2,7,2,3,2,8,22,3288
k3d2_k5d2,3,2,5,2,6,21,2390
