split,index,shape,input_colors,output_colors,marker_colors,changed_cells,changed_ratio,passable_components,seeded_components,largest_component,largest_seeded_component
train,0,11x24,0 2 3 8,0 2 3 8,2 3,57,0.215909,9,1,62,62
train,1,13x14,0 1 4 8,0 1 4 8,1 4,35,0.192308,5,1,39,39
test,0,15x15,0 3 4 8,0 3 4 8,3 4,49,0.217778,7,1,53,53
arc-gen,0,25x12,0 4 7 8,0 4 7 8,4 7,70,0.233333,8,1,73,73
arc-gen,1,20x13,0 1 5 8,0 1 5 8,1 5,134,0.515385,2,1,137,137
arc-gen,2,24x13,0 5 8 9,5 8 9,5 9,164,0.525641,1,1,167,167
arc-gen,3,15x21,0 7 8 9,0 7 8 9,7 9,144,0.457143,4,1,147,147
arc-gen,4,25x25,0 1 3 8,0 1 3 8,1 3,301,0.481600,8,1,303,303
arc-gen,5,22x19,0 1 4 8,0 1 4 8,1 4,150,0.358852,6,1,153,153
arc-gen,6,20x15,0 3 4 8,0 3 4 8,3 4,66,0.220000,4,1,69,69
arc-gen,7,24x11,0 3 4 8,0 3 4 8,3 4,54,0.204545,3,1,57,57
arc-gen,8,14x23,0 6 7 8,0 6 7 8,6 7,139,0.431677,5,1,143,143
arc-gen,9,21x12,0 1 8 9,0 1 8 9,1 9,18,0.071429,5,1,81,21
arc-gen,10,15x19,0 1 5 8,0 1 5 8,1 5,149,0.522807,4,1,151,151
arc-gen,11,23x11,0 2 7 8,0 2 7 8,2 7,138,0.545455,2,1,141,141
arc-gen,12,11x18,0 1 4 8,0 1 4 8,1 4,63,0.318182,3,1,67,67
arc-gen,13,25x12,0 1 5 8,0 1 5 8,1 5,98,0.326667,6,1,101,101
arc-gen,14,10x22,0 1 5 8,0 1 5 8,1 5,101,0.459091,3,1,105,105
arc-gen,15,20x22,0 1 2 8,0 1 2 8,1 2,75,0.170455,8,1,127,77
arc-gen,16,24x11,0 2 3 8,0 2 3 8,2 3,43,0.162879,5,1,91,45
arc-gen,17,17x20,0 3 7 8,0 3 7 8,3 7,166,0.488235,6,1,169,169
arc-gen,18,17x25,0 1 7 8,0 1 7 8,1 7,203,0.477647,2,1,205,205
arc-gen,19,20x13,0 4 5 8,0 4 5 8,4 5,93,0.357692,7,1,97,97
arc-gen,20,23x14,0 1 2 8,0 1 2 8,1 2,161,0.500000,2,1,165,165
arc-gen,21,20x22,0 4 7 8,4 7 8,4 7,214,0.486364,1,1,219,219
arc-gen,22,25x17,0 1 3 8,0 1 3 8,1 3,182,0.428235,4,1,185,185
arc-gen,23,25x19,0 6 7 8,0 6 7 8,6 7,120,0.252632,10,1,125,125
arc-gen,24,13x18,0 2 8 9,0 2 8 9,2 9,94,0.401709,5,1,97,97
arc-gen,25,16x20,0 4 7 8,4 7 8,4 7,154,0.481250,1,1,159,159
arc-gen,26,23x16,0 7 8 9,0 7 8 9,7 9,130,0.353261,8,1,133,133
arc-gen,27,22x20,0 3 8 9,0 3 8 9,3 9,10,0.022727,10,1,103,13
arc-gen,28,13x16,0 1 5 8,0 1 5 8,1 5,88,0.423077,3,1,91,91
arc-gen,29,18x15,0 3 7 8,0 3 7 8,3 7,72,0.266667,3,1,75,75
arc-gen,30,23x18,0 3 5 8,0 3 5 8,3 5,178,0.429952,10,1,181,181
arc-gen,31,18x24,0 5 8 9,0 5 8 9,5 9,187,0.432870,2,1,191,191
arc-gen,32,11x14,0 6 8 9,0 6 8 9,6 9,72,0.467532,3,1,75,75
arc-gen,33,12x23,0 3 5 8,0 3 5 8,3 5,78,0.282609,13,1,81,81
arc-gen,34,21x19,0 1 6 8,0 1 6 8,1 6,186,0.466165,3,1,189,189
