task,file,bytes,sha256,train_examples,arc_gen_examples,test_examples,priority_band,cost,points,shape_class,size_trend,color_class
task009,tasks/task009.json,870037,3c0bef3d8083dbcb6c72d28ea36316b295632f640d6977ae17c1f05b3e4bc898,3,261,1,P1_16_16p7,6699,16.190286,same_shape,same_size,input_palette_only
task015,tasks/task015.json,144989,3e17484bf1d617f3791a13858b85e3ca161369ce43611b5feb6319a198e3dd86,3,261,1,P3_ge17p5,900,18.197605,same_shape,same_size,new_output_colors
task046,tasks/task046.json,67450,c56ae81e2713532925dac6534a74f788ea890d737c1607649bec7ee6a20fed78,4,262,1,P2_16p7_17p5,2279,17.268508,shape_change,shrink,input_palette_only
task052,tasks/task052.json,24331,cff07accd99d0a22127edd70e58a2bac401ccc9518ce528f989a378e9c1f0f92,4,262,1,P3_ge17p5,194,19.732142,same_shape,same_size,new_output_colors
task054,tasks/task054.json,1475004,ede17ace89cb779230845f3faa8d9b969c7bc05d655c1b5276c69344419723f3,3,262,1,P0_lt16,25394,14.857732,same_shape,same_size,input_palette_only
task061,tasks/task061.json,544981,8761e8384909055b727538da23c5998a7446d4678a09eb7e2211534b76ed97c2,4,262,1,P3_ge17p5,1668,17.580619,same_shape,same_size,input_palette_only
task065,tasks/task065.json,101134,df530d8a413962d43c1a5825e4d96a61da68010714f0f48873a9a216aea302f9,3,262,1,P3_ge17p5,638,18.541662,shape_change,shrink,input_palette_only
task069,tasks/task069.json,175594,e46b6f7609bcb0c920147804879f5326cc15d20883c05b6aa5145e6fcade16ab,2,261,1,P2_16p7_17p5,3905,16.729987,same_shape,same_size,input_palette_only
task072,tasks/task072.json,93298,1f1fdca88fcf7c68124113b742dcfa06cb5d08def6aa54acf41f480ad7db2c99,4,262,2,P3_ge17p5,421,18.957367,shape_change,shrink,new_output_colors
task075,tasks/task075.json,202229,ee286014ddbb070ff68eff59d7d8d65fdd11c26b38bc72b8b7e11e6e1c0b0ad4,3,261,1,P3_ge17p5,1487,17.695484,same_shape,same_size,input_palette_only
task077,tasks/task077.json,512710,a2fee1b44a606c7af2f54e51d0cc62f720156f909535d7151f64c3d8d4e12533,3,262,1,P0_lt16,8510,15.951003,same_shape,same_size,new_output_colors
task081,tasks/task081.json,91642,83613076445a59869c98032576d27acf9419db9d924009400b6e1fb54d5a9bc3,2,261,1,P3_ge17p5,464,18.860115,same_shape,same_size,new_output_colors
task091,tasks/task091.json,168716,9b36341193134a9d28dc483375d7c703620852e0708533848baf8d68345044b8,3,262,1,P2_16p7_17p5,3013,16.989308,shape_change,shrink,input_palette_only
task094,tasks/task094.json,380309,3b274f6f16607e802f3e7ef7915e01064f383a1db9af66d665400c4de9111b9d,2,262,1,P2_16p7_17p5,2703,17.097882,same_shape,same_size,new_output_colors
task096,tasks/task096.json,289459,e0de5a69f3087014ddf41b5cf5d5bce97c925e75d3c5e2af8aa31e14b5a27d5e,3,262,1,P1_16_16p7,7678,16.053886,shape_change,shrink,input_palette_only
task108,tasks/task108.json,421644,0616f6cc99110cd5bd944b6417b31175dd9691bcd356220eee926e1e1340bc29,3,262,1,P3_ge17p5,300,19.296218,shape_change,grow,input_palette_only
task113,tasks/task113.json,107979,83612090ce8aafb064b6680846c7fb3a6c97e3f1259c6f6f3cb8c729ab703b41,2,262,1,P3_ge17p5,30,21.598803,same_shape,same_size,input_palette_only
task121,tasks/task121.json,157240,0c05d56761bd204df175ddb1ce18abb8569419a5ebd8ca296bf99ba29414f4a3,3,262,1,P3_ge17p5,326,19.213103,shape_change,shrink,input_palette_only
task132,tasks/task132.json,192145,fb01f48e7f3177fe2dfeeb1370443986d83b63330f4696c881fbb8347d375296,4,262,1,P1_16_16p7,4089,16.683944,same_shape,same_size,input_palette_only
task141,tasks/task141.json,322541,4916a142a6715c6ce9aa10d0c95bb4434516b4e112e1ed54df611fc763d209fa,3,261,1,P3_ge17p5,1383,17.767990,same_shape,same_size,input_palette_only
task142,tasks/task142.json,47382,3799251af7f06a53b4cfc1dda485653df8daea3eacb51279636f3ce955335bd3,3,262,1,P3_ge17p5,90,20.500190,shape_change,grow,input_palette_only
task144,tasks/task144.json,55303,c7d3c060f3f0c9c9ac697f2e0a785892b54f24316184b8ad8066c893e3e3c2e2,4,262,1,P3_ge17p5,104,20.355609,shape_change,shrink,new_output_colors
task146,tasks/task146.json,41953,bdcc7e549648ee6fecaf400e674fecf2307937005676dddca89438b51c09c92b,4,262,1,P3_ge17p5,267,19.412751,shape_change,shrink,input_palette_only
task158,tasks/task158.json,767524,058293126d01c88012b43ff522305c0f972a904a5d16be60dbf9361516c0e9d7,3,262,1,P0_lt16,28483,14.742937,same_shape,same_size,input_palette_only
task159,tasks/task159.json,465430,ff7ef20225b38b2691c548405bdaa9d93e21633791ff69b4bf264b1689de2d4b,3,261,1,P3_ge17p5,1568,17.642444,shape_change,shrink,input_palette_only
task165,tasks/task165.json,663859,0f69436f28712066da71eb64d01d8185588c03fa25fb66b4bcd0fd07dc221d4e,3,261,1,P1_16_16p7,4814,16.520716,same_shape,same_size,input_palette_only
task178,tasks/task178.json,32472,e536fb84d18e3d1bc06b155c23990bbf9b163ab3dba4a66d5e23c593b51ecf45,5,262,1,P3_ge17p5,762,18.364053,shape_change,shrink,input_palette_only
task180,tasks/task180.json,77486,3cd70d1c6238b15fc1eda81a6bccdd3742cd675a6eb8239a3278b0de3cefd9bf,5,262,1,P3_ge17p5,210,19.652892,shape_change,shrink,input_palette_only
task190,tasks/task190.json,176924,71a93463b393755f708b39017253e3b81bf3f78f02d2fa53c686c3cc90fb0579,3,262,1,P2_16p7_17p5,2525,17.166004,same_shape,same_size,input_palette_only
task193,tasks/task193.json,322848,d3cd44aae2a63cfa8122c913bd4a31a61f537c38de7a98dcbcc1b0a92c9c6c6a,3,262,1,P3_ge17p5,910,18.186555,same_shape,same_size,input_palette_only
task194,tasks/task194.json,47382,49fb8a58faa6d56d874ee75c80e1fbe10421ba36ab3cfaa1b9755ebe6212702d,3,262,1,P3_ge17p5,949,18.144591,shape_change,grow,input_palette_only
task201,tasks/task201.json,179422,1a5f9a55d70ea844ccb569c52861bbfcfcab1669985f763bc36fdfc545455cb7,4,261,1,P2_16p7_17p5,3349,16.883583,shape_change,shrink,input_palette_only
task203,tasks/task203.json,267429,91ead610ae72642bf22142c222deef08bdb476ca579b6bc33f8f080247a3317e,4,262,1,P3_ge17p5,355,19.127882,same_shape,same_size,input_palette_only
task221,tasks/task221.json,220294,3b94f098cb4b2da228139b160904e7aafde4a7d86b7e5cacbbd047cc898c67d9,4,262,1,P3_ge17p5,805,18.309158,shape_change,grow,input_palette_only
task224,tasks/task224.json,309676,d18ffab820c08f43f28bacae282bd7e7cd4bec8cfdd6950c2d6670f05dd01554,3,262,1,P2_16p7_17p5,2829,17.052321,same_shape,same_size,input_palette_only
task225,tasks/task225.json,70259,1a416ace7bc61991cd1d16dbd96842c8a65a1bd0c35c29612c2f989b1ba42eb8,3,261,1,P3_ge17p5,1031,18.061716,same_shape,same_size,input_palette_only
task230,tasks/task230.json,291654,0461e5fd69534dafd4c6ce06846dc52f148f687fb620377f181d3f63f29ce5a2,3,262,1,P3_ge17p5,900,18.197605,same_shape,same_size,new_output_colors
task237,tasks/task237.json,69092,313e601a06b76f2fdc99fe217a4809d2ba787a90d9fcea7e291ee7db52171fe3,4,261,1,P2_16p7_17p5,1836,17.484655,same_shape,same_size,input_palette_only
task252,tasks/task252.json,178118,e7dc4a1f7e60b7343dd9db382ba95650b9911a43f4386ee36f5bbb11a4ffba7b,3,262,1,P3_ge17p5,180,19.807043,same_shape,same_size,new_output_colors
task276,tasks/task276.json,51988,1d787c01ee811685af85011ae23bfca0d68ae7338dfb6029df668e151224280c,3,262,1,P3_ge17p5,10,22.697415,same_shape,same_size,new_output_colors
task278,tasks/task278.json,453771,f6c5aa1ccf3fb520b233b5a646e259e2edf7a143f46bfa756eadc153c41c862e,2,262,1,P1_16_16p7,5010,16.480809,same_shape,same_size,new_output_colors
task284,tasks/task284.json,239632,d1b6c3a5259425bc88d236141a86f4a01125ca31ec05e7f8b7095687aa3a9840,3,262,1,P2_16p7_17p5,3608,16.809091,same_shape,same_size,input_palette_only
task286,tasks/task286.json,508049,fe90b8f827d11baa73dc399828f06ae3d68e0ae487b577feb83178c267aa5a0b,2,262,1,P0_lt16,26909,14.799784,same_shape,same_size,input_palette_only
task298,tasks/task298.json,93669,10a4a06791fd88e0ba3aa6b2541cc1075291934d17668eb4757a5ce468a1b02f,3,262,2,P3_ge17p5,135,20.094725,same_shape,same_size,input_palette_only
