task,priority,base_cost,base_points,source,source_kind,source_member,sha256,bytes,valid,candidate_cost,candidate_points,delta_cost,delta_points,reason
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/yuto_ensemble_full/_extracted_submission/task133.onnx,file,,c9003c2c3d07cfc818156206c772865f45942b75550b50d8ae7c890bf3237fcc,114,False,0,25.0,,,
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/doctorwang_wangpre/_extracted_submission/task133.onnx,file,,cda35f0e26aac40cc26fe22a5fccaba8ea1eaf7b17118437830c00ec3342e7e9,572,False,100,20.394829814011906,,,
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_massi_part7/submission.zip::task133.onnx,zip,task133.onnx,687403e301eb56a72f080985e3a0582ec5ef07c7e2803b00eae6972121f73aeb,6327,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_80'
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_hongbin_sparse/_extracted_submission/task133.onnx,file,,07b32d9ca16d59ecf758426f07db1ded5e3021c1f246dc5b89e8d87e516cdf1a,6449,False,,,,,"InferenceError: [ShapeInferenceError] (op_type:ScatterND): data typestr: T, has unsupported type: sparse_tensor(uint8)"
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_prv_724364/submission.zip::task133.onnx,zip,task133.onnx,6bc516ed44aa31fc4dfc82dd37004269cd0772d29a58a0821f76f27384e04b49,7039,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_80'
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_llcc_724370/submission.zip::task133.onnx,zip,task133.onnx,251befac78d974ea6fbafd084a640dfdbceaa8b25f5ab2bdb8310f3f4a42de88,7064,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_80'
task133,P0_lt16,21278,15.034571,work/final-v157-stable-plus-task286-on-v154/task133.onnx,file,,22d0e8ce3f2857df58a76b797e02aa859778fc1ef077cd76b408b6aea25d9f05,7092,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_78'
task133,P0_lt16,21278,15.034571,work/final-v147-safe-ryosuke-on-v144/task133.onnx,file,,620d15da2c8b87e996aba79153b870f2404e07166c1f9ed2cd7558ab946d9ad3,7116,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_80'
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_biohack_best_solution/_extracted_submission/task133.onnx,file,,2023912e164edfe55ad0903eb89c2d70b3fc605300478885c8af208e613836ae,7212,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_80'
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_biohack_1311_retry/_src_A/task133.onnx,file,,c74f291554a357bbb79ab57e7617f5d2a3bf8173fc9c81a2a8b62fbf0e7c9139,7264,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_80'
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_ryosuke_723010/_extracted_submission/task133.onnx,file,,1d06281637bb0330dadc4c8e46ba422e162c3d69e66f047c989d52879e62cd55,7289,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_83'
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/seddik_surgical_precision/submission/task133.onnx,file,,674c8a7eb1f001cc8db93a4b6a1b646561460bb557f887c2f7a6fbf37ecc1d44,9879,True,196688,12.810626004092878,175410,-2.2239449959071216,
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/ajay_neuro_champ_2026/_extracted_submission/task133.onnx,file,,98c9e52b494fb0f930f72b2508e749c34f95ede21d3da8d2ed929d596b33efb9,10596,True,196797,12.81007198041834,175519,-2.2244990195816605,
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/ajay_current_rules/_extracted_submission/task133.onnx,file,,3a19c0cdbb2bcc44c378990c45cd8ca20a72e248d91e4fc9c75bedfc5076a62c,65902,True,713472,11.522101528038489,692194,-3.512469471961511,
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/biohack_6080_v2/_extracted_submission/task133.onnx,file,,0ef0fa264a0c18d4ef74470003c94f0b958ac943f50245cb54882ef02350ff8e,174987,False,,,,,ValueError: official scorer rejected model
