task,base_cost,base_points,source,sha256,bytes,valid,candidate_cost,candidate_points,delta_cost,delta_points,reason
task002,14285,15.433035,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task002.onnx,99b799926d294aca3c8f6cca5b577938f07349d98b52187e81cd1303ae78207c,6660,True,14285,15.433034685335127,0,-3.1466487371289986e-07,
task010,1002,18.090247,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task010.onnx,3f065a8894aa271eaf4c83431e8eb7933593a175bc744ed18abe31795ba8a1bd,1491,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(9) node with name 'safe_name_16'
task020,1256,17.864313,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task020.onnx,b9f566d26dcd7db8a3aae121798d67517415f7878019095d983fa22ae382744f,2463,True,1256,17.864312652971854,0,-3.4702814488696276e-07,
task028,168,19.876036,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task028.onnx,9839d39735475542b50eeb72e9601a3d52c61ff4e578ed6d2858e62b19008f75,894,True,168,19.876036020596743,0,2.0596743866008183e-08,
task029,5288,16.426805,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task029.onnx,aaefe5fe1d61a97cf4936104569159359cbdd39de612c137d070dccc8ce61604,2148,True,5288,16.426804618468477,0,-3.8153152459585726e-07,
task030,2144,17.329571,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task030.onnx,f095591e93a8faea2047aae8f7a258cc64365519bb7195e348dc1b318df71558,2338,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Sub(14) node with name 'safe_name_29'
task032,910,18.186555,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task032.onnx,ceb4063280bf7df98b687efafb01b5fdedc714737f65b70a50c4a70a941c330a,3828,True,910,18.186555400489105,0,4.0048910676659943e-07,
task036,1610,17.616011,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task036.onnx,2cec0658f87502e040a945fdb0f55b913a8661257e690fcc84586604545528a8,3635,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Less(13) node with name 'safe_name_63'
task041,1787,17.511706,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task041.onnx,400019dbef097d707f88b22cacdee535d7ec52af3334e4998babd06155300065,1048,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'output'
task045,1673,17.577626,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task045.onnx,5061669c1b6c13786b60a1dd2075be07b670a7bd2c94f142362443f4214e853e,2298,True,1673,17.577626299013176,0,2.9901317688540985e-07,
task047,862,18.240745,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task047.onnx,284de7485240fbfc570db5abf48e067e96733ca47e164ab169d595f3a0ff286c,1189,True,862,18.240744729336306,0,-2.7066369412409585e-07,
task055,3141,16.947704,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task055.onnx,7e3cc516ccc7486e4ee95167d26e964e32d31e83984baae7c5119b887a42367c,1187,True,1856,17.473821086653853,-1285,0.5261170866538514,
task073,40,21.311121,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task073.onnx,a92843b84523843e01d65daa24b5b52c90ad622a7257faa92fdc2e1b49ee1a29,356,True,40,21.311120545886062,0,-4.541139375646708e-07,
