task,cost,points,source_chars,source_lines,source_kind,source_sha256,source_path,preview
385,30,21.598802618337846,25,1,plain,8769c94406c2a30bc70484ca30847dfab49a819dabfcc8f92d13cbc04d5d4a8a,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task385.py,p=lambda j:j[:4:-1]+j[5:]
150,135,20.09472522156157,30,1,plain,30fce9b8f7cec2e4302c17cd799a343a5825286ae3ed482455c9655d1214197c,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task150.py,p=lambda j:[r[::-1]for r in j]
135,200,19.701682633451963,32,1,plain,34c9e1db9d81dfb67d0ecc7a638d567a5970791a837680538105e178f15e6ede,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task135.py,p=lambda g:[r[6:]for r in g[:3]]
267,758,18.36931661435763,46,1,plain,a5d4b1c51b1d2c635a54adcf224cb05963cb231cd539cab8c2379ecb123516d2,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task267.py,p=lambda j:[[j[6][A>[B]]for B in A]for A in j]
31,637,18.543230344427837,48,1,plain,c969a554d20a735addb787a7cb7e8b0069d27249b8fc23902b8b26e6e132972a,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task031.py,"p=lambda j:[*eval('zip(*filter(any,'*2+'j))))')]"
60,129,20.140187595638327,48,1,plain,771e55ca4a134b4eb2c2a5ae7c5455f6144f3d01f7b3df12e8d73a60d6d1f911,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task060.py,"p=lambda g:[5*[A]+[5%6**A]+5*[B]for(A,*C,B)in g]"
129,80,20.61797336532612,48,1,plain,b0b71b300acd10da87c3c10878883a2aefadbb47d3ce3d76e88c1979bedaaf12,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task129.py,"p=lambda j:[[max(x:=sum(j,[]),key=x.count)]*3]*3"
38,213,19.638707834290575,51,1,plain,2587ff66df804b65cffcfbb7c5a8fd2f8f4b4571c3aebaf417ad4b6882e4096e,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task038.py,"p=lambda g:[([1]*str(g).count('1, 1')+[0]*9)[:9:2]]"
329,1050,18.04345455684843,54,1,plain,deba1022d2594ed5e2e153696447514017045ced7883151d56673affe3cabe36,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task329.py,p=lambda a:[(m:=len(r)//2)*[0]+[r[m]]+m*[0]for r in a]
299,50,21.087976994571854,54,1,plain,ab92c4ed563df8dd817c5b6dac29122b2fe7511a12e363ab4f34566a9d9221e3,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task299.py,"p=lambda g:[[(A,A%6+2)[2in B]for A in g[0]]for B in g]"
321,180,19.807043149109788,55,1,plain,c2f8f2f49a058ae64dca7c8e6184a31f9542862259e422ab1e8ae9d10eeb86ec,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task321.py,p=lambda j:[[A.pop(0)or A[4]|A[9]for B in j]for A in j]
43,58,20.939556989453582,57,1,plain,84e6b845f798ec5846ca932c42e9ecb37189c22370d7c5e61f8fb0447df832a1,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task043.py,"p=lambda j:[[B|2&C+A[9]for(B,C)in zip(A,j[0])]for A in j]"
3,239,19.52353644806849,58,1,plain,0daf4f4e7848fcd54ca24a222274616850c213a607937cba6752844f73f55a45,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task003.py,p=lambda g:eval(str(g+g[g[0]==g[3]:][2:5]).replace(*'12'))
39,453,18.884107874516964,60,1,plain,37545897fdfc1d21e9a368d6f288caeb92970eae4108e5bac1aa59351b6fb011,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task039.py,"p=lambda g:[*eval('zip(*[*filter(any,'*2+'g)]))][:3])')][:3]"
227,100,20.394829814011906,60,1,plain,52d3815ac8969a124521d4c736edd6d2a2140a04c6eee18746f38106f4ef85f7,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task227.py,"p=lambda g:[[2*(A==B)for(A,B)in A]for A in map(zip,g,g[4:])]"
78,82,20.593280752735748,61,1,plain,8bd44ebc8ce96e87a98358a911011f7dbfd17e34f2c4c351ba3ae8dcb562a1c3,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task078.py,"p=lambda a:[*zip(*[sorted(x,key=0..__eq__)for x in zip(*a)])]"
305,636,18.544801436659878,64,1,plain,47d9eb3b4cbaf7a11b7cfff4f4d6241ce45b19475ad3797bef89c323b560d3d9,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task305.py,"p=lambda g,r=range(16):[[1+(A+B)%max(g[0])for B in r]for A in r]"
343,1539,17.66111186616112,65,1,plain,76db2e1d57c0be54ca6ea4a6b6a9e010b8a2ed960cfb5c042b76656bfb7736ad,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task343.py,"p=lambda g:[(r[:6+2*(r[:4]in(r[4:8],r[8:12]))]*3)[:15]for r in g]"
84,419,18.96212908007786,65,3,plain,f3986915a8957be2909a70509c8961ec759609cb9a24c63f4de2a98c52a5adfc,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task084.py,"def p(j,i=1): while j[i:]:j[-1][i]=4;j[~i][i]=2;i+=1 return j"
130,20,22.00426772644601,65,1,plain,e22f88503eea012f49b2343dec0161c8c52c1164885f6dcb15b83acd30d58da4,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task130.py,"p=lambda g:[[max({*B[A:A+3]}-{5})for A in(0,3,6)]for B in g[::3]]"
235,129,20.140187595638327,66,1,plain,25df3dc851e7368ba67d4dc93a7d5c88e7f42f5385ff262c63a38a747755f566,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task235.py,"p=lambda g:[3*[(7*g[2][A-1]+5*g[2][A]+g[1][A])%9]for A in(1,6,11)]"
7,127,20.15581291354141,68,1,plain,13caf1aba2d747f373e7b4960df3215d218c61acfb64db63a4359a2943647006,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task007.py,"p=lambda g,k=2:[[max(sum(g,[])[(k:=-~k)%3::3])for _ in r]for r in g]"
248,151,19.982720163185075,74,3,plain,5d4bef7cb479e513f207c81a525b41d11a868e49bfd022dd558aa1123661dab5,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task248.py,"def p(g,t=9): for B in g:A=~-len(B);B[~abs(t%(A+A)-A)]=1;t-=1 return g"
257,114,20.263801551605503,74,1,plain,257541fef2ed3d6e31f437ceab2964aad11c127497265ff8ec14327c9a50bd0e,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task257.py,p=lambda a:a[0][4:]and p([[B[A]or B[A-4]for B in a]for A in range(4)])or a
40,80,20.61797336532612,75,1,plain,3cb512c78bc33fb88988c6ae82aead6c0ecbf95a87f1a1b31aff8fc70a39d92e,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task040.py,"p=lambda j,r=range(10):[[j[A][B]and j[A//5*9][B//5*9]for B in r]for A in r]"
294,601,18.601405065464792,77,2,plain,dc1b36c7b65e078c9aafee3b839e8172e3c0d30b6e56592707d2375de2f8bd81,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task294.py,"import re p=lambda g:eval(re.sub('(?<=5.{31}5, )5(?=, 5.{31}5)','2',str(g)))"
33,268,19.409013019489144,79,1,plain,fa9c72ce93c3858b1c92b247e6ec7725b8b49d69db0447a5d036ce361bf98572,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task033.py,"p=lambda g,r=range(17):[[g[A][B]or g[A%6][B%6]and g[5][0]for B in r]for A in r]"
85,2507,17.173157901841705,82,1,plain,8e9dae786fefde2c4bb35bf068340eb266059957550bad02502e7dc03a685371,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task085.py,"p=lambda g,c=0,a=0:g and[((A:=g.pop(0)),[(a:=~a&A)for A in A])[g[:1]==[c]]]+p(g,A)"
259,892,18.206533867419992,87,1,plain,02767fa1928161f2cd0e5d546a9dc9f0f61d8e09e2f96df4e9026a6166dba719,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task259.py,"p=lambda g,k=19:eval(f""{-k*g or p([*zip(*g[2>max(g[0]):][::-1])],~-k)}"".replace(*'10'))"
49,344,19.159358342626604,87,1,plain,9b8a85b965953f316e42c848ebc498657d0dab26613d278d743d9c30548bbab7,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task049.py,"p=lambda g:[[A]*B.count(A)for B in g if(A:=min({*(C:=sum(g,[]))}-{0},key=C.count))in B]"
35,1879,17.461505000586534,94,1,plain,68a73aef6191cf9dac62d7e1186ed55f1983fd7f3e61e52e8476ba0f7e5b06f7,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task035.py,"p=lambda g:exec('g[:]=map(list,zip(*g[::-1]))\nfor r in g:r[r[0]and r.index(8)]=r[0]\n'*4)or g"
271,1187,17.92081560539033,94,1,plain,76fae1a912ed5380c1b28179c8ac74c6d98c131440f0de88feb109a2da5c9ef7,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task271.py,"p=lambda g:max((str(B:=[B[A%7:][:3]for B in g[A//7:][:3]]).count('1'),B)for A in range(49))[1]"
394,519,18.748096116834112,94,1,plain,86bcc774f235e19128e9c43d75af86bb8d85d69088bcd6c6a4e8b89dba5e62b2,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task394.py,p=lambda g:[g[:(B:=2|len(g)//7)+B][g.index(A)-B][A.index(0):][:C]for A in g if(C:=A.count(0))]
98,900,18.197605236675688,97,1,plain,5b6552e15484ea1abb3e0541fdf5869b95eb05bffef9eafbd141eac13a6ff8dc,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task098.py,"p=lambda g,e=enumerate:[[C*any(0in A[B-1:B+2]for A in g[A-1:A+2])for(B,C)in e(B)]for(A,B)in e(g)]"
254,254,19.462665732981463,97,1,plain,08cc8871ca2bf8acd234f619e354f1dad71c09184af037c65647f14eae3d191c,F:\kaggle\neurogolf-2026\external\google-code-golf-2025\solutions\task254.py,"p=lambda g,z=zip:[[B%2*(A==max(z(*g)),2)[A==sorted({*z(*g)})[1]]for(A,B)in z(z(*g),A)]for A in g]"
