task,assignment_type,priority_band,shape_class,current_cost,best_method,best_cost,delta_cost,current_points,best_points,delta_points,verified_all,improved
task233,shared_review,P0_lt16,shape_change,34400,original,34400,0,14.554188,14.554188,0.000000,True,False
task138,primary,P0_lt16,shape_change,13005,original,13005,0,15.526911,15.526911,0.000000,True,False
task064,primary,P0_lt16,same_shape,12685,original,12685,0,15.551825,15.551825,0.000000,True,False
task118,primary,P0_lt16,same_shape,12282,original,12282,0,15.584110,15.584110,0.000000,True,False
task198,primary,P0_lt16,same_shape,11410,original,11410,0,15.657755,15.657755,0.000000,True,False
task110,primary,P0_lt16,same_shape,10572,original,10572,0,15.734036,15.734036,0.000000,True,False
task216,primary,P0_lt16,shape_change,9127,original,9127,0,15.881008,15.881008,0.000000,True,False
task324,primary,P0_lt16,same_shape,8890,original,8890,0,15.907318,15.907318,0.000000,True,False
task370,primary,P1_16_16p7,same_shape,8099,original,8099,0,16.000504,16.000504,0.000000,True,False
task192,primary,P1_16_16p7,same_shape,6833,original,6833,0,16.170481,16.170481,0.000000,True,False
task092,primary,P1_16_16p7,same_shape,6553,original,6553,0,16.212322,16.212322,0.000000,True,False
task085,primary,P1_16_16p7,same_shape,5381,original,5381,0,16.409370,16.409370,0.000000,True,False
task396,primary,P1_16_16p7,shape_change,4928,original,4928,0,16.497311,16.497311,0.000000,True,False
task044,primary,P1_16_16p7,same_shape,4736,original,4736,0,16.537052,16.537052,0.000000,True,False
task174,primary,P1_16_16p7,shape_change,4347,original,4347,0,16.622759,16.622759,0.000000,True,False
task162,primary,P1_16_16p7,same_shape,4068,original,4068,0,16.689093,16.689093,0.000000,True,False
task050,primary,P2_16p7_17p5,same_shape,3850,original,3850,0,16.744172,16.744172,0.000000,True,False
task093,primary,P2_16p7_17p5,same_shape,3531,original,3531,0,16.830664,16.830664,0.000000,True,False
task333,primary,P2_16p7_17p5,same_shape,3210,original,3210,0,16.925974,16.925974,0.000000,True,False
task042,primary,P2_16p7_17p5,same_shape,3110,original,3110,0,16.957622,16.957622,0.000000,True,False
task268,primary,P2_16p7_17p5,same_shape,2993,original,2993,0,16.995968,16.995968,0.000000,True,False
task394,primary,P2_16p7_17p5,shape_change,2774,original,2774,0,17.071954,17.071954,0.000000,True,False
task354,primary,P2_16p7_17p5,same_shape,2644,original,2644,0,17.119952,17.119952,0.000000,True,False
task250,primary,P2_16p7_17p5,same_shape,2516,original,2516,0,17.169574,17.169574,0.000000,True,False
task012,primary,P2_16p7_17p5,same_shape,2251,original,2251,0,17.280870,17.280870,0.000000,True,False
task273,primary,P2_16p7_17p5,same_shape,2158,original,2158,0,17.323063,17.323063,0.000000,True,False
task084,primary,P2_16p7_17p5,same_shape,2038,original,2038,0,17.380276,17.380276,0.000000,True,False
task035,primary,P2_16p7_17p5,same_shape,1905,original,1905,0,17.447763,17.447763,0.000000,True,False
task336,primary,P2_16p7_17p5,same_shape,1820,original,1820,0,17.493408,17.493408,0.000000,True,False
task051,primary,P3_ge17p5,same_shape,1744,original,1744,0,17.536063,17.536063,0.000000,True,False
task033,primary,P3_ge17p5,same_shape,1639,original,1639,0,17.598158,17.598158,0.000000,True,False
task343,primary,P3_ge17p5,same_shape,1539,original,1539,0,17.661112,17.661112,0.000000,True,False
task240,primary,P3_ge17p5,same_shape,1475,original,1475,0,17.703587,17.703587,0.000000,True,False
task013,primary,P3_ge17p5,same_shape,1424,original,1424,0,17.738775,17.738775,0.000000,True,False
task275,primary,P3_ge17p5,shape_change,1356,original,1356,0,17.787706,17.787706,0.000000,True,False
task078,primary,P3_ge17p5,same_shape,1293,original,1293,0,17.835280,17.835280,0.000000,True,False
task271,primary,P3_ge17p5,shape_change,1187,original,1187,0,17.920816,17.920816,0.000000,True,False
task329,primary,P3_ge17p5,same_shape,1050,original,1050,0,18.043455,18.043455,0.000000,True,False
task060,primary,P3_ge17p5,same_shape,1010,original,1010,0,18.082294,18.082294,0.000000,True,False
task195,primary,P3_ge17p5,shape_change,921,original,921,0,18.174540,18.174540,0.000000,True,False
task294,primary,P3_ge17p5,same_shape,910,original,910,0,18.186555,18.186555,0.000000,True,False
task098,primary,P3_ge17p5,same_shape,900,original,900,0,18.197605,18.197605,0.000000,True,False
task259,primary,P3_ge17p5,shape_change,892,original,892,0,18.206534,18.206534,0.000000,True,False
task043,primary,P3_ge17p5,same_shape,793,original,793,0,18.324177,18.324177,0.000000,True,False
task267,primary,P3_ge17p5,same_shape,758,original,758,0,18.369317,18.369317,0.000000,True,False
task254,primary,P3_ge17p5,same_shape,687,original,687,0,18.467666,18.467666,0.000000,True,False
task305,primary,P3_ge17p5,same_shape,636,original,636,0,18.544801,18.544801,0.000000,True,False
task355,primary,P3_ge17p5,shape_change,539,original,539,0,18.710284,18.710284,0.000000,True,False
task031,primary,P3_ge17p5,shape_change,481,original,481,0,18.824133,18.824133,0.000000,True,False
task039,primary,P3_ge17p5,shape_change,453,original,453,0,18.884108,18.884108,0.000000,True,False
task257,primary,P3_ge17p5,shape_change,400,original,400,0,19.008535,19.008535,0.000000,True,False
task049,primary,P3_ge17p5,shape_change,345,original,345,0,19.156456,19.156456,0.000000,True,False
task011,primary,P3_ge17p5,same_shape,318,original,318,0,19.237949,19.237949,0.000000,True,False
task321,primary,P3_ge17p5,shape_change,300,original,300,0,19.296218,19.296218,0.000000,True,False
task003,primary,P3_ge17p5,shape_change,260,original,260,0,19.439318,19.439318,0.000000,True,False
task038,primary,P3_ge17p5,shape_change,213,original,213,0,19.638708,19.638708,0.000000,True,False
task135,primary,P3_ge17p5,shape_change,200,original,200,0,19.701683,19.701683,0.000000,True,False
task040,primary,P3_ge17p5,same_shape,190,original,190,0,19.752976,19.752976,0.000000,True,False
task235,primary,P3_ge17p5,shape_change,170,original,170,0,19.864202,19.864202,0.000000,True,False
task248,primary,P3_ge17p5,same_shape,151,original,151,0,19.982720,19.982720,0.000000,True,False
task150,primary,P3_ge17p5,same_shape,138,original,138,0,20.072746,20.072746,0.000000,True,False
task007,primary,P3_ge17p5,same_shape,127,original,127,0,20.155813,20.155813,0.000000,True,False
task227,primary,P3_ge17p5,shape_change,100,original,100,0,20.394830,20.394830,0.000000,True,False
task129,primary,P3_ge17p5,same_shape,80,original,80,0,20.617973,20.617973,0.000000,True,False
task299,primary,P3_ge17p5,same_shape,50,original,50,0,21.087977,21.087977,0.000000,True,False
task130,primary,P3_ge17p5,shape_change,30,original,30,0,21.598803,21.598803,0.000000,True,False
task385,primary,P3_ge17p5,same_shape,30,original,30,0,21.598803,21.598803,0.000000,True,False
