task,assignment_type,ok,examples_checked,examples_passed,memory,params,cost,points,sha256,path,error
task003,primary,True,265,265,200,39,239,19.52353644806849,4394bab28a9345e184cc55d896067714310c15c37c444e5430f2400bb67d658c,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task003.onnx,
task007,primary,True,266,266,0,127,127,20.15581291354141,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task007.onnx,
task011,primary,True,267,267,64,254,318,19.23794861721982,df7ddffdefd8d1f168424610c67e41dcbc66e7251fc7d35e61f2aa883f311ad9,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task011.onnx,
task012,primary,True,265,265,2063,188,2251,17.28087015909327,4696a6d5e8de2cf4cd34839a89ef503275e80ad6ad0c722deaf67971122976c6,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task012.onnx,
task013,primary,True,267,267,1361,63,1424,17.738774908028077,b5f1e5c4871cbd88797e8e037f1f73175cfca71bfc303ea21465c9310ab36e9b,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task013.onnx,
task031,primary,True,266,266,524,113,637,18.543230344427837,3c4eeba87acebceb14949914ad03cbcebdcc4169920faefb0f380a38e831fa8c,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task031.onnx,
task033,primary,True,265,265,0,268,268,19.409013019489144,c13e3c334a9eec2943a0bbcd3ee8f106ef26ab34fc5abc8dedddedce13a12db2,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task033.onnx,
task035,primary,True,266,266,1432,447,1879,17.461505000586534,a53dd9f5852bc8e3b78a903c195c5b26bf44f8210abff5e3ed38fe7958cf9750,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task035.onnx,
task038,primary,True,266,266,163,50,213,19.638707834290575,c4776de59a95731af1b97ef08b61bd62db867c2ddd6b9d2039ce294a0817b7de,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task038.onnx,
task039,primary,True,264,264,404,49,453,18.884107874516964,2fefd1eb855204420cd892fbac6c861ddee74f26c743988eb4a129c4ae79a885,F:\kaggle\neurogolf-2026\work\team_shared_737940_tracked_20260714\models\task039.onnx,
