task,source_zip,base_cost,candidate_cost,delta_cost,base_points,candidate_points,delta_points,status,verified_all,sha256
task003,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,260,260,0,19.439318369,19.439318369,0.000000000,not_better,,aafbad07e8d682d538c1dce9a95646f6c6f10c46bdab18dfa205ae42028ae95b
task007,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,127,127,0,20.155812914,20.155812914,0.000000000,not_better,,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc
task011,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,318,318,0,19.237948617,19.237948617,0.000000000,not_better,,df7ddffdefd8d1f168424610c67e41dcbc66e7251fc7d35e61f2aa883f311ad9
task012,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,2251,2251,0,17.280870159,17.280870159,0.000000000,not_better,,4696a6d5e8de2cf4cd34839a89ef503275e80ad6ad0c722deaf67971122976c6
task013,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,1424,1424,0,17.738774908,17.738774908,0.000000000,not_better,,b5f1e5c4871cbd88797e8e037f1f73175cfca71bfc303ea21465c9310ab36e9b
task031,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,481,481,0,18.824132730,18.824132730,0.000000000,not_better,,3c4eeba87acebceb14949914ad03cbcebdcc4169920faefb0f380a38e831fa8c
task033,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,1639,1639,0,17.598158421,17.598158421,0.000000000,not_better,,aa9357a8f5fca19d81a770db89eccf1e5fbed345d52ef426096832c34f6c15a8
task035,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,1891,1909,-18,17.455138931,17.445665176,0.000000000,not_better,,5b80c6625e34f3cad9f5a20f6163fef06672e7487d591dd468f42ea7c0cf7409
task038,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,213,213,0,19.638707834,19.638707834,0.000000000,not_better,,c4776de59a95731af1b97ef08b61bd62db867c2ddd6b9d2039ce294a0817b7de
task039,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,453,453,0,18.884107875,18.884107875,0.000000000,not_better,,2fefd1eb855204420cd892fbac6c861ddee74f26c743988eb4a129c4ae79a885
task040,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,190,190,0,19.752975928,19.752975928,0.000000000,not_better,,34c4840699dcbf379a0ad49f934c18f96525056b6771c7f3b81347d1becf3f30
task042,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,3110,3110,0,16.957621995,16.957621995,0.000000000,not_better,,750708a9a5332fbd8c065a17348a4b924a31c866117c6b9319e896e0ab2b652c
task043,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,793,793,0,18.324176778,18.324176778,0.000000000,not_better,,f779cd25faf94b2cb7aba327fd656159c8993ea8751767ae384105af8f1dc153
task044,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,3210,4736,-1526,16.925973784,16.537051823,0.000000000,not_better,,c7b42b001b4ad7820ff6f4688808d1031db667b7c08eb865722727af8826a3eb
task049,F:\kaggle\neurogolf-2026\external\kernels_v2\jackelysia_7250\submission.zip,345,345,0,19.156455583,19.156455583,0.000000000,not_better,,90f67e98b88dc7cf18827011f97c5e3e7ffd2cb811ad3edb0e6b8268a26e011b
