task,assignment_type,source,kaggle_ref,current_cost,candidate_cost,delta_cost,current_points,candidate_points,delta_points,zip_sha256,zip_path
task394,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,2774,676,2098,17.071954,18.483807,1.411853,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task085,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,5381,2875,2506,16.409370,17.036192,0.626822,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task044,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,4736,3212,1524,16.537052,16.925351,0.388299,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task396,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,4928,3562,1366,16.497311,16.821923,0.324612,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task333,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3210,2401,809,16.925974,17.216359,0.290385,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task235,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,170,129,41,19.864202,20.140188,0.275986,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task192,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,6833,5346,1487,16.170481,16.415896,0.245415,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task370,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,8099,6598,1501,16.000504,16.205478,0.204974,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task064,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,12685,10445,2240,15.551825,15.746121,0.194296,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task354,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,2644,2218,426,17.119952,17.295639,0.175687,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task250,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,2516,2123,393,17.169574,17.339415,0.169841,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
task162,primary,franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,4068,3500,568,16.689093,16.839482,0.150389,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip
