source,kaggle_ref,zip_sha256,task,assignment_type,status,current_cost,candidate_cost,delta_cost,current_points,candidate_points,delta_points,improved,zip_path,error
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task233,shared_review,ok,34400,32011,2389,14.554188,14.626165,0.071977,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task138,primary,ok,13005,12042,963,15.526911,15.603844,0.076933,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task064,primary,ok,12685,10445,2240,15.551825,15.746121,0.194296,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task118,primary,ok,12282,12282,0,15.584110,15.584110,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task198,primary,ok,11410,11410,0,15.657755,15.657755,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task110,primary,ok,10572,10327,245,15.734036,15.757483,0.023447,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task216,primary,ok,9127,8473,654,15.881008,15.955360,0.074352,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task324,primary,ok,8890,8639,251,15.907318,15.935958,0.028640,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task370,primary,ok,8099,6598,1501,16.000504,16.205478,0.204974,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task192,primary,ok,6833,5346,1487,16.170481,16.415896,0.245415,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task092,primary,ok,6553,6553,0,16.212322,16.212322,-0.000000,False,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task085,primary,ok,5381,2875,2506,16.409370,17.036192,0.626822,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
franksunp_7266_72,franksunp/7266-72-lb-compact-onnx-artifact-starter,3e41f9a65144aa0f5d13d43d2df48ac09c451073d9c1ede4f25cc3b2deff3872,task396,primary,ok,4928,3562,1366,16.497311,16.821923,0.324612,True,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\franksunp_7266_72\output\submission.zip,
