rank,task,assignment_type,shape_class,priority_band,status,cost,points,above_20,cost_to_20_or_better,error
1,task233,shared_review,shape_change,P0_lt16,ok,31938,14.628448198,False,31790,
2,task118,primary,same_shape,P0_lt16,ok,12282,15.584109945,False,12134,
3,task138,primary,shape_change,P0_lt16,ok,12042,15.603844182,False,11894,
4,task198,primary,same_shape,P0_lt16,ok,11410,15.657754557,False,11262,
5,task064,primary,same_shape,P0_lt16,ok,10445,15.746121326,False,10297,
6,task110,primary,same_shape,P0_lt16,ok,10327,15.757482896,False,10179,
7,task324,primary,same_shape,P0_lt16,ok,8639,15.935957886,False,8491,
8,task216,primary,shape_change,P0_lt16,ok,8473,15.955360084,False,8325,
9,task370,primary,same_shape,P1_16_16p7,ok,6598,16.205478148,False,6450,
10,task092,primary,same_shape,P1_16_16p7,ok,6553,16.212321761,False,6405,
11,task192,primary,same_shape,P1_16_16p7,ok,5346,16.415896103,False,5198,
12,task174,primary,shape_change,P1_16_16p7,ok,4027,16.699223039,False,3879,
13,task050,primary,same_shape,P2_16p7_17p5,ok,3849,16.744431347,False,3701,
14,task396,primary,shape_change,P1_16_16p7,ok,3562,16.821922536,False,3414,
15,task162,primary,same_shape,P1_16_16p7,ok,3500,16.839481753,False,3352,
16,task093,primary,same_shape,P2_16p7_17p5,ok,3332,16.888671997,False,3184,
17,task044,primary,same_shape,P1_16_16p7,ok,3210,16.925973784,False,3062,
18,task042,primary,same_shape,P2_16p7_17p5,ok,3110,16.957621995,False,2962,
19,task268,primary,same_shape,P2_16p7_17p5,ok,2993,16.995968492,False,2845,
20,task085,primary,same_shape,P1_16_16p7,ok,2519,17.168382724,False,2371,
21,task333,primary,same_shape,P2_16p7_17p5,ok,2401,17.216359404,False,2253,
22,task012,primary,same_shape,P2_16p7_17p5,ok,2251,17.280870159,False,2103,
23,task354,primary,same_shape,P2_16p7_17p5,ok,2218,17.295638832,False,2070,
24,task250,primary,same_shape,P2_16p7_17p5,ok,2123,17.339414538,False,1975,
25,task084,primary,same_shape,P2_16p7_17p5,ok,2038,17.380275786,False,1890,
26,task273,primary,same_shape,P2_16p7_17p5,ok,2027,17.385687854,False,1879,
27,task035,primary,same_shape,P2_16p7_17p5,ok,1891,17.455138931,False,1743,
28,task336,primary,same_shape,P2_16p7_17p5,ok,1820,17.493408220,False,1672,
29,task051,primary,same_shape,P3_ge17p5,ok,1744,17.536063396,False,1596,
30,task033,primary,same_shape,P3_ge17p5,ok,1639,17.598158421,False,1491,
31,task343,primary,same_shape,P3_ge17p5,ok,1539,17.661111866,False,1391,
32,task240,primary,same_shape,P3_ge17p5,ok,1475,17.703586731,False,1327,
33,task013,primary,same_shape,P3_ge17p5,ok,1424,17.738774908,False,1276,
34,task275,primary,shape_change,P3_ge17p5,ok,1356,17.787705531,False,1208,
35,task078,primary,same_shape,P3_ge17p5,ok,1293,17.835279621,False,1145,
36,task271,primary,shape_change,P3_ge17p5,ok,1187,17.920815605,False,1039,
37,task329,primary,same_shape,P3_ge17p5,ok,1050,18.043454557,False,902,
38,task060,primary,same_shape,P3_ge17p5,ok,1010,18.082294390,False,862,
39,task195,primary,shape_change,P3_ge17p5,ok,921,18.174539964,False,773,
40,task294,primary,same_shape,P3_ge17p5,ok,910,18.186555400,False,762,
41,task098,primary,same_shape,P3_ge17p5,ok,900,18.197605237,False,752,
42,task259,primary,shape_change,P3_ge17p5,ok,892,18.206533867,False,744,
43,task043,primary,same_shape,P3_ge17p5,ok,793,18.324176778,False,645,
44,task267,primary,same_shape,P3_ge17p5,ok,758,18.369316614,False,610,
45,task254,primary,same_shape,P3_ge17p5,ok,687,18.467665708,False,539,
46,task394,primary,shape_change,P2_16p7_17p5,ok,676,18.483806924,False,528,
47,task305,primary,same_shape,P3_ge17p5,ok,636,18.544801437,False,488,
48,task355,primary,shape_change,P3_ge17p5,ok,539,18.710284429,False,391,
49,task031,primary,shape_change,P3_ge17p5,ok,481,18.824132730,False,333,
50,task039,primary,shape_change,P3_ge17p5,ok,453,18.884107875,False,305,
51,task257,primary,shape_change,P3_ge17p5,ok,400,19.008535453,False,252,
52,task049,primary,shape_change,P3_ge17p5,ok,345,19.156455583,False,197,
53,task011,primary,same_shape,P3_ge17p5,ok,318,19.237948617,False,170,
54,task321,primary,shape_change,P3_ge17p5,ok,300,19.296217525,False,152,
55,task003,primary,shape_change,P3_ge17p5,ok,260,19.439318369,False,112,
56,task038,primary,shape_change,P3_ge17p5,ok,213,19.638707834,False,65,
57,task135,primary,shape_change,P3_ge17p5,ok,200,19.701682633,False,52,
58,task040,primary,same_shape,P3_ge17p5,ok,190,19.752975928,False,42,
59,task248,primary,same_shape,P3_ge17p5,ok,151,19.982720163,False,3,
60,task150,primary,same_shape,P3_ge17p5,ok,138,20.072746315,True,0,
61,task235,primary,shape_change,P3_ge17p5,ok,129,20.140187596,True,0,
62,task007,primary,same_shape,P3_ge17p5,ok,127,20.155812914,True,0,
63,task227,primary,shape_change,P3_ge17p5,ok,100,20.394829814,True,0,
64,task129,primary,same_shape,P3_ge17p5,ok,80,20.617973365,True,0,
65,task299,primary,same_shape,P3_ge17p5,ok,50,21.087976995,True,0,
66,task130,primary,shape_change,P3_ge17p5,ok,30,21.598802618,True,0,
67,task385,primary,same_shape,P3_ge17p5,ok,30,21.598802618,True,0,
