node_index,node_output,original_to,candidate_dtype,base_cost,candidate_cost,delta_cost,base_points,candidate_points,delta_points,status,verified_all
1,safe_name_49,2,float,31938,,,14.628448198,,,score_error,False
1,safe_name_49,2,int8,31938,,,14.628448198,,,score_error,False
1,safe_name_49,2,uint16,31938,,,14.628448198,,,score_error,False
1,safe_name_49,2,int16,31938,,,14.628448198,,,score_error,False
1,safe_name_49,2,int32,31938,,,14.628448198,,,score_error,False
1,safe_name_49,2,int64,31938,,,14.628448198,,,score_error,False
1,safe_name_49,2,bool,31938,,,14.628448198,,,score_error,False
1,safe_name_49,2,float16,31938,,,14.628448198,,,score_error,False
5,safe_name_53,10,float,31938,,,14.628448198,,,score_error,False
5,safe_name_53,10,uint8,31938,,,14.628448198,,,score_error,False
5,safe_name_53,10,int8,31938,,,14.628448198,,,score_error,False
5,safe_name_53,10,uint16,31938,,,14.628448198,,,score_error,False
5,safe_name_53,10,int16,31938,,,14.628448198,,,score_error,False
5,safe_name_53,10,int32,31938,,,14.628448198,,,score_error,False
5,safe_name_53,10,int64,31938,,,14.628448198,,,score_error,False
5,safe_name_53,10,bool,31938,,,14.628448198,,,score_error,False
7,safe_name_56,6,float,31938,,,14.628448198,,,score_error,False
7,safe_name_56,6,uint8,31938,,,14.628448198,,,score_error,False
7,safe_name_56,6,int8,31938,,,14.628448198,,,score_error,False
7,safe_name_56,6,uint16,31938,,,14.628448198,,,score_error,False
7,safe_name_56,6,int16,31938,,,14.628448198,,,score_error,False
7,safe_name_56,6,int64,31938,,,14.628448198,,,score_error,False
7,safe_name_56,6,bool,31938,,,14.628448198,,,score_error,False
7,safe_name_56,6,float16,31938,,,14.628448198,,,score_error,False
8,safe_name_57,9,float,31938,,,14.628448198,,,score_error,False
8,safe_name_57,9,uint8,31938,,,14.628448198,,,score_error,False
8,safe_name_57,9,int8,31938,,,14.628448198,,,score_error,False
8,safe_name_57,9,uint16,31938,,,14.628448198,,,score_error,False
8,safe_name_57,9,int16,31938,,,14.628448198,,,score_error,False
8,safe_name_57,9,int32,31938,,,14.628448198,,,score_error,False
8,safe_name_57,9,int64,31938,,,14.628448198,,,score_error,False
8,safe_name_57,9,float16,31938,,,14.628448198,,,score_error,False
20,safe_name_69,10,float,31938,,,14.628448198,,,score_error,False
20,safe_name_69,10,uint8,31938,,,14.628448198,,,score_error,False
20,safe_name_69,10,int8,31938,,,14.628448198,,,score_error,False
20,safe_name_69,10,uint16,31938,,,14.628448198,,,score_error,False
20,safe_name_69,10,int16,31938,,,14.628448198,,,score_error,False
20,safe_name_69,10,int32,31938,,,14.628448198,,,score_error,False
20,safe_name_69,10,int64,31938,,,14.628448198,,,score_error,False
20,safe_name_69,10,bool,31938,,,14.628448198,,,score_error,False
22,safe_name_71,2,float,31938,,,14.628448198,,,score_error,False
22,safe_name_71,2,int8,31938,,,14.628448198,,,score_error,False
22,safe_name_71,2,uint16,31938,,,14.628448198,,,score_error,False
22,safe_name_71,2,int16,31938,,,14.628448198,,,score_error,False
22,safe_name_71,2,int32,31938,,,14.628448198,,,score_error,False
22,safe_name_71,2,int64,31938,,,14.628448198,,,score_error,False
22,safe_name_71,2,bool,31938,,,14.628448198,,,score_error,False
22,safe_name_71,2,float16,31938,,,14.628448198,,,score_error,False
28,safe_name_77,10,float,31938,,,14.628448198,,,score_error,False
28,safe_name_77,10,uint8,31938,,,14.628448198,,,score_error,False
28,safe_name_77,10,int8,31938,,,14.628448198,,,score_error,False
28,safe_name_77,10,uint16,31938,,,14.628448198,,,score_error,False
