task,path,status,arc_agi_pass,arc_agi_fail,arc_gen_pass,arc_gen_fail,memory,params,cost,points,filesize,error
233,F:\kaggle\neurogolf-2026\experiments\afr1ste_6335_compress_identity_all\task233.onnx,ok,4,0,262,0,10454414,83441,10537855,8.82951543007,378176,
233,F:\kaggle\neurogolf-2026\experiments\kojimar_6272_merged\task233.onnx,ok,4,0,262,0,1646585,10142,1656727,10.679645472747369,312152,
233,F:\kaggle\neurogolf-2026\experiments\konbu_v117_compress_identity_all\task233.onnx,ok,4,0,262,0,10454414,83441,10537855,8.82951543007,378176,
233,F:\kaggle\neurogolf-2026\experiments\low40_extended_bypass_20260702\task233\n0059_where_i1\task233.onnx,error,4,0,0,0,,,,,19082,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 115, in verify_subset |     result = ng.run_network(session, benchmark[""input""]) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\data\neurogolf_utils\neurogolf_utils.py"", line 393, in run_network |     result = session.run([""output""], {""input"": benchmark_input}) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | onnxruntime.capi.onnxruntime_pybind11_state.InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Non-zero status code returned while running Gather node. Name:'safe_name_157' Status Message: indices element out of data bounds, idx=4550 must be within the inclusive range [-400,399] |  | During handling of the above exception, another exception occurred: |  | Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 160, in score_model |     row.arc_gen_pass, row.arc_gen_fail = verify_subset( |                                          ^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 116, in verify_subset |     except onnxruntime.ONNXRuntimeError: |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'onnxruntime' has no attribute 'ONNXRuntimeError' | "
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_cse_low2_20260627\task233.onnx,ok,4,0,262,0,65101,644,65745,13.906461098478982,18984,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_latest_low20_20260626\task233.onnx,ok,4,0,262,0,69906,644,70550,13.83592304271904,19503,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\adjust_add\task233.onnx,ok,4,0,262,0,1647529,12054,1659583,10.677923076043767,321271,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\eliminate_common_subexpression\task233.onnx,ok,4,0,262,0,1647529,12054,1659583,10.677923076043767,321271,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\eliminate_duplicate_initializer\task233.onnx,ok,4,0,262,0,1647529,10151,1657680,10.679070407569036,313187,
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\rename_input_output\task233.onnx,error,0,0,0,0,,,,,321279,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 115, in verify_subset |     result = ng.run_network(session, benchmark[""input""]) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\data\neurogolf_utils\neurogolf_utils.py"", line 393, in run_network |     result = session.run([""output""], {""input"": benchmark_input}) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | ValueError: Required inputs (['safe_name_0']) are missing from input feed (['input']). |  | During handling of the above exception, another exception occurred: |  | Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 157, in score_model |     row.arc_agi_pass, row.arc_agi_fail = verify_subset( |                                          ^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 116, in verify_subset |     except onnxruntime.ONNXRuntimeError: |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'onnxruntime' has no attribute 'ONNXRuntimeError' | "
233,F:\kaggle\neurogolf-2026\experiments\onnxoptimizer_pass_sweep_v003\split_init\task233.onnx,error,0,0,0,0,,,,,35705,"Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 115, in verify_subset |     result = ng.run_network(session, benchmark[""input""]) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\data\neurogolf_utils\neurogolf_utils.py"", line 393, in run_network |     result = session.run([""output""], {""input"": benchmark_input}) |              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | onnxruntime.capi.onnxruntime_pybind11_state.InvalidArgument: [ONNXRuntimeError] : 2 : INVALID_ARGUMENT : Invalid input name: input |  | During handling of the above exception, another exception occurred: |  | Traceback (most recent call last): |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 157, in score_model |     row.arc_agi_pass, row.arc_agi_fail = verify_subset( |                                          ^^^^^^^^^^^^^^ |   File ""F:\kaggle\neurogolf-2026\src\score_onnx.py"", line 116, in verify_subset |     except onnxruntime.ONNXRuntimeError: |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | AttributeError: module 'onnxruntime' has no attribute 'ONNXRuntimeError' | "
