task,path,status,arc_agi_pass,arc_agi_fail,arc_gen_pass,arc_gen_fail,memory,params,cost,points,filesize,error
233,F:\kaggle\neurogolf-2026\external\all_sources_20260707\franksunp_7245_63\a_seddik_source\submission\task233.onnx,ok,4,0,262,0,33637,763,34400,14.55418815663851,20972,
233,F:\kaggle\neurogolf-2026\external\all_sources_20260707\jonathan_7250_26\base_submission_extracted\task233.onnx,ok,4,0,262,0,33637,763,34400,14.55418815663851,20972,
233,F:\kaggle\neurogolf-2026\external\datasets\kojimar-neurogolf-7114-66-minimal-onnx-assets-v1-20260619\unzipped\base_submission\task233.onnx,ok,4,0,262,0,4754696,142960,4897656,9.595732718720246,938710,
233,F:\kaggle\neurogolf-2026\external\datasets\kojimar-neurogolf-7114-66-minimal-onnx-assets-v1-20260619\unzipped\overrides\task233.onnx,ok,4,0,262,0,75000,1063,76063,13.760682776750228,23912,
233,F:\kaggle\neurogolf-2026\external\datasets_v1\uditjain13_neurogolf-kevali-7232-nets\task233.onnx,ok,4,0,262,0,33642,763,34405,14.55404281836342,20974,
233,F:\kaggle\neurogolf-2026\external\datasets_v2\franksunp_neurogolf-6424-02-compact-onnx-assets\submission\task233.onnx,ok,4,0,262,0,75000,1063,76063,13.760682776750228,23912,
233,F:\kaggle\neurogolf-2026\external\datasets_v2\kojimar_neurogolf-7139-66-minimal-onnx-blend-assets-v2\base_submission\task233.onnx,ok,4,0,262,0,74412,1064,75476,13.768429996092395,35920,
233,F:\kaggle\neurogolf-2026\external\datasets_v2\kojimar_neurogolf-7139-66-minimal-onnx-blend-assets-v2\overrides\task233.onnx,ok,4,0,262,0,74412,668,75080,13.773690509299556,33176,
233,F:\kaggle\neurogolf-2026\external\datasets_v2\kojimar_neurogolf-7166-47-audited-onnx-overrides-assets\base_submission\task233.onnx,ok,4,0,262,0,70847,649,71496,13.822603216938772,20162,
233,F:\kaggle\neurogolf-2026\external\datasets_v2\kojimar_neurogolf-7166-47-audited-onnx-overrides-assets\overrides\task233.onnx,ok,4,0,262,0,69962,644,70606,13.835129594294065,19633,
233,F:\kaggle\neurogolf-2026\external\datasets_v2\kojimar_neurogolf-7169-36-minimal-onnx-assets-v1\base_submission\task233.onnx,ok,4,0,262,0,74412,664,75076,13.773743787223859,32789,
233,F:\kaggle\neurogolf-2026\external\datasets_v2\kojimar_neurogolf-7169-36-minimal-onnx-assets-v1\overrides\task233.onnx,ok,4,0,262,0,62995,644,63639,13.93901823105954,18391,
233,F:\kaggle\neurogolf-2026\external\datasets_v3\franksunp_neurogolf-6410-86-compact-onnx-assets\submission\task233.onnx,ok,4,0,262,0,78400,1063,79463,13.7169532164989,23998,
233,F:\kaggle\neurogolf-2026\external\datasets_v3\kojimar_neurogolf-6272-50-minimal-onnx-assets-v1\base_submission\task233.onnx,ok,4,0,262,0,4754696,142960,4897656,9.595732718720246,938710,
