task,path,status,arc_agi_pass,arc_agi_fail,arc_gen_pass,arc_gen_fail,memory,params,cost,points,filesize,error
233,F:\kaggle\neurogolf-2026\work\e_public7266_union_20260709\task233.onnx,ok,4,0,262,0,31272,739,32011,14.626165127286631,20139,
233,F:\kaggle\neurogolf-2026\work\v243_surgery\task233.onnx,ok,4,0,262,0,33637,763,34400,14.55418815663851,20972,
233,F:\kaggle\neurogolf-2026\models\v225_top_late_union_20260707\task233.onnx,ok,4,0,262,0,33642,763,34405,14.55404281836342,20974,
233,F:\kaggle\neurogolf-2026\models\v217_source_union_20260705\task233.onnx,ok,4,0,262,0,34252,769,35021,14.536296839456481,29535,
233,F:\kaggle\neurogolf-2026\models\v216_local_compaction_20260703\task233.onnx,ok,4,0,262,0,39018,723,39741,14.409861320647629,19379,
233,F:\kaggle\neurogolf-2026\models\v208_greedy_pool_20260702\task233.onnx,ok,4,0,262,0,40818,722,41540,14.365587902569896,19468,
233,F:\kaggle\neurogolf-2026\models\v202_franksunp_latest_exact_20260701\task233.onnx,ok,4,0,262,0,41058,719,41777,14.359898772158763,23703,
233,F:\kaggle\neurogolf-2026\models\v203_best_union34_20260701\task233.onnx,ok,4,0,262,0,40819,729,41548,14.365395335652298,19685,
233,F:\kaggle\neurogolf-2026\models\v200_kuni_positive47_20260630\task233.onnx,ok,4,0,262,0,50512,556,51068,14.159086643059759,16684,
233,F:\kaggle\neurogolf-2026\models\v197_7174_sources_plus_task184_20260629\task233.onnx,ok,4,0,262,0,58671,556,59227,14.010867202020187,17472,
233,F:\kaggle\neurogolf-2026\models\v192_7167_00_task233_second_valid_65710_20260627\task233.onnx,ok,4,0,262,0,65066,644,65710,13.906993600108086,18926,
233,F:\kaggle\neurogolf-2026\models\v193_7167_00_task018_onnxsim_59729_20260627\task233.onnx,ok,4,0,262,0,65101,644,65745,13.906461098478982,18984,
233,F:\kaggle\neurogolf-2026\models\v189_7166_68_task023_ebbdb_20260626\task233.onnx,ok,4,0,262,0,69943,644,70587,13.835398729451114,19574,
233,F:\kaggle\neurogolf-2026\models\v187_v184_task233_frank715947_20260626\task233.onnx,ok,4,0,262,0,69967,644,70611,13.835058781289934,19664,
233,F:\kaggle\neurogolf-2026\models\v185_task396_frank715947_20260625\task233.onnx,ok,4,0,262,0,70767,648,71415,13.823736789703272,20121,
233,F:\kaggle\neurogolf-2026\models\v173_v169_zoli6446_task233_single_20260619\task233.onnx,ok,4,0,262,0,49136,14404,63540,13.940575092176493,39787,
233,F:\kaggle\neurogolf-2026\models\v174_v169_zoli6446_task319_single_20260619\task233.onnx,ok,4,0,262,0,75000,1063,76063,13.760682776750228,23912,
233,F:\kaggle\neurogolf-2026\models\v164_sajay395_on_v162_20260619\task233.onnx,ok,4,0,262,0,257534,3387,260921,12.528027041504947,25456,
233,F:\kaggle\neurogolf-2026\models\blend_v002\task233.onnx,ok,4,0,262,0,61136,14406,75542,13.767555928044851,39834,
