task,path,ok,valid_all_checked,examples_checked,examples_passed,examples_failed,memory,params,cost,points,file_size,sha256,error,source_sha256
task118,F:\kaggle\neurogolf-2026\experiments\afr1ste_6335_compress_identity_all\task118.onnx,True,False,3,3,0,87060,10041,97101,13.51649304711244,19526,baa06f1362879d54d6d93f07e2d4835665261eb1c3ccf4d2c8eb5b51e89b74f0,,baa06f1362879d54d6d93f07e2d4835665261eb1c3ccf4d2c8eb5b51e89b74f0
task133,F:\kaggle\neurogolf-2026\experiments\afr1ste_6335_compress_identity_all\task133.onnx,False,False,3,3,0,,228893,,,775725,2901a7219bca2ce7cafd1cc93ee3d72731badd6e990760243434fd7aff63d34b,,2901a7219bca2ce7cafd1cc93ee3d72731badd6e990760243434fd7aff63d34b
task174,F:\kaggle\neurogolf-2026\experiments\afr1ste_6335_compress_identity_all\task174.onnx,True,False,3,3,0,71439,72,71511,13.82239343699716,55104,71cae4fe7c911eae251b723aaea92430603de949f1faee0143c81afe669a13e6,,71cae4fe7c911eae251b723aaea92430603de949f1faee0143c81afe669a13e6
task249,F:\kaggle\neurogolf-2026\experiments\afr1ste_6335_compress_identity_all\task249.onnx,True,False,3,3,0,87446,64,87510,13.620491648470123,1598,70684993630b2b9519e5b42a4fb0471d122da0f989e4c922eccb320c98cc6523,,70684993630b2b9519e5b42a4fb0471d122da0f989e4c922eccb320c98cc6523
task315,F:\kaggle\neurogolf-2026\experiments\afr1ste_6335_compress_identity_all\task315.onnx,True,False,3,3,0,86300,116,86416,13.633071877167328,3141,3aacfbefb755e26c819ea647bc017eaa5b8fb76cda81d319b54dfdbe6cebf182,,3aacfbefb755e26c819ea647bc017eaa5b8fb76cda81d319b54dfdbe6cebf182
task321,F:\kaggle\neurogolf-2026\experiments\afr1ste_6335_compress_identity_all\task321.onnx,True,False,3,3,0,82712,114,82826,13.675502699255528,3725,c0871b5b8c9a0f869d3ce87ab12011e4c64840903dfee632707cc5c2c632a786,,c0871b5b8c9a0f869d3ce87ab12011e4c64840903dfee632707cc5c2c632a786
task118,F:\kaggle\neurogolf-2026\experiments\kojimar_6272_merged\task118.onnx,True,False,3,3,0,116144,142,116286,13.336192047071197,4432,97438b5c21bb19e585d3fceec251469c7b374cd4a076c5688816618e34f13133,,97438b5c21bb19e585d3fceec251469c7b374cd4a076c5688816618e34f13133
task133,F:\kaggle\neurogolf-2026\experiments\kojimar_6272_merged\task133.onnx,True,False,3,3,0,196254,425,196679,12.810671762888107,14130,e62eb5a9a2a4edd22e15bb60cf6385817bb390a6d88aed743ce640c676fd27d4,,e62eb5a9a2a4edd22e15bb60cf6385817bb390a6d88aed743ce640c676fd27d4
task174,F:\kaggle\neurogolf-2026\experiments\kojimar_6272_merged\task174.onnx,True,False,3,3,0,51945,74,52019,14.140635684557754,61839,4501407339b9e160ae271315971c5baa39151bb8f252ce075fee7e027ffb1686,,4501407339b9e160ae271315971c5baa39151bb8f252ce075fee7e027ffb1686
task249,F:\kaggle\neurogolf-2026\experiments\kojimar_6272_merged\task249.onnx,True,False,3,3,0,8676,322,8998,15.895242390598883,2482,8f23574b7b0f46cc61a7c7c546332f1dd7c4b77385030feda3fd9683d1b77d97,,8f23574b7b0f46cc61a7c7c546332f1dd7c4b77385030feda3fd9683d1b77d97
