candidate_source,kaggle_ref,task,base_cost,candidate_cost,delta_cost,base_points,candidate_points,delta_points,status,zip_sha256,zip_path,improved
yusuketogashi_baseline_7267_31,yusuketogashi/2026-neurogolf-baseline,task003,260,260,0,19.439318368984473,19.439318368984473,0,ok,c8f65658dada1c5c02d7506cbb78dcb1459c711874f0bef0da879ab1374cbf94,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\yusuketogashi_baseline_7267_31\output\submission.zip,False
yusuketogashi_baseline_7267_31,yusuketogashi/2026-neurogolf-baseline,task007,127,127,0,20.15581291354141,20.15581291354141,0,ok,c8f65658dada1c5c02d7506cbb78dcb1459c711874f0bef0da879ab1374cbf94,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\yusuketogashi_baseline_7267_31\output\submission.zip,False
yusuketogashi_baseline_7267_31,yusuketogashi/2026-neurogolf-baseline,task011,318,318,0,19.23794861721982,19.23794861721982,0,ok,c8f65658dada1c5c02d7506cbb78dcb1459c711874f0bef0da879ab1374cbf94,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\yusuketogashi_baseline_7267_31\output\submission.zip,False
yusuketogashi_baseline_7267_31,yusuketogashi/2026-neurogolf-baseline,task012,2251,2251,0,17.28087015909327,17.28087015909327,0,ok,c8f65658dada1c5c02d7506cbb78dcb1459c711874f0bef0da879ab1374cbf94,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\yusuketogashi_baseline_7267_31\output\submission.zip,False
yusuketogashi_baseline_7267_31,yusuketogashi/2026-neurogolf-baseline,task013,1424,1424,0,17.738774908028077,17.738774908028077,0,ok,c8f65658dada1c5c02d7506cbb78dcb1459c711874f0bef0da879ab1374cbf94,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\yusuketogashi_baseline_7267_31\output\submission.zip,False
yusuketogashi_baseline_7267_31,yusuketogashi/2026-neurogolf-baseline,task031,481,481,0,18.824132729894238,18.824132729894238,0,ok,c8f65658dada1c5c02d7506cbb78dcb1459c711874f0bef0da879ab1374cbf94,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\yusuketogashi_baseline_7267_31\output\submission.zip,False
yusuketogashi_baseline_7267_31,yusuketogashi/2026-neurogolf-baseline,task033,1639,1639,0,17.59815842125617,17.59815842125617,0,ok,c8f65658dada1c5c02d7506cbb78dcb1459c711874f0bef0da879ab1374cbf94,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\yusuketogashi_baseline_7267_31\output\submission.zip,False
yusuketogashi_baseline_7267_31,yusuketogashi/2026-neurogolf-baseline,task035,1891,1891,0,17.455138931341544,17.455138931341544,0,ok,c8f65658dada1c5c02d7506cbb78dcb1459c711874f0bef0da879ab1374cbf94,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\yusuketogashi_baseline_7267_31\output\submission.zip,False
yusuketogashi_baseline_7267_31,yusuketogashi/2026-neurogolf-baseline,task038,213,213,0,19.638707834290575,19.638707834290575,0,ok,c8f65658dada1c5c02d7506cbb78dcb1459c711874f0bef0da879ab1374cbf94,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\yusuketogashi_baseline_7267_31\output\submission.zip,False
yusuketogashi_baseline_7267_31,yusuketogashi/2026-neurogolf-baseline,task039,453,453,0,18.884107874516964,18.884107874516964,0,ok,c8f65658dada1c5c02d7506cbb78dcb1459c711874f0bef0da879ab1374cbf94,F:\kaggle\neurogolf-2026\external\source_review_20260709_e\yusuketogashi_baseline_7267_31\output\submission.zip,False
