task_id,owner,owner_track,priority_band,assignment_points,current_score,gap_to_target,total_cost,correctness,shape_class,size_trend,color_class,candidate_id,source_type,onnx_template_candidate,recoverability,estimated_gain,priority,notes
task158,C,onnx_equiv_compression,P0_lt16,14.742937,14.742937302942996,10.257062697057004,28483.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,10.257062697057004,20.514125,
task286,C,onnx_equiv_compression,P0_lt16,14.799784,14.799783917876258,10.200216082123742,26909.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,10.200216082123742,20.400432,
task054,C,onnx_equiv_compression,P0_lt16,14.857732,14.857731795370263,10.142268204629737,25394.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,10.142268204629737,20.284536,
task349,C,onnx_equiv_compression,P0_lt16,15.391421,15.391420565007392,9.608579434992608,14892.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,9.608579434992608,19.217159,
task364,C,onnx_equiv_compression,P0_lt16,15.057196,15.408350609793413,9.591649390206587,14642.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,9.591649390206587,19.183299,
task096,C,onnx_equiv_compression,P1_16_16p7,16.053886,16.053885624439257,8.946114375560743,7678.0,pass,shape_change,shrink,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,8.946114375560743,17.892229,
task077,C,onnx_equiv_compression,P0_lt16,15.951003,16.056624458886876,8.943375541113124,7657.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,8.943375541113124,17.886751,
task009,C,onnx_equiv_compression,P1_16_16p7,16.190286,16.191033118228727,8.808966881771273,6694.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,8.808966881771273,17.617934,
task383,C,onnx_equiv_compression,P1_16_16p7,16.315261,16.32922772065546,8.67077227934454,5830.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,8.67077227934454,17.341545,
task382,C,onnx_equiv_compression,P1_16_16p7,16.351428,16.352656124118717,8.647343875881283,5695.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,8.647343875881283,17.294688,
task165,C,onnx_equiv_compression,P1_16_16p7,16.520716,16.578437039599013,8.421562960400987,4544.0,pass,same_shape,same_size,input_palette_only,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,8.421562960400987,16.843126,
task278,C,onnx_equiv_compression,P1_16_16p7,16.480809,16.58705682995756,8.412943170042439,4505.0,pass,same_shape,same_size,new_output_colors,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,not_obvious,unknown,8.412943170042439,16.825886,
