task,owner,owner_track,assignment_type,priority_band,cost,points,gap_to_18,gap_to_19,shape_class,size_trend,color_class,examples,score_source,note
task158,C,onnx_equiv_compression,primary,P0_lt16,28483,14.742937,3.257063,4.257063,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task286,C,onnx_equiv_compression,primary,P0_lt16,26909,14.799784,3.200216,4.200216,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task054,C,onnx_equiv_compression,primary,P0_lt16,25394,14.857732,3.142268,4.142268,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task364,C,onnx_equiv_compression,primary,P0_lt16,20802,15.057196,2.942804,3.942804,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task349,C,onnx_equiv_compression,primary,P0_lt16,14892,15.391421,2.608579,3.608579,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task077,C,onnx_equiv_compression,primary,P0_lt16,8510,15.951003,2.048997,3.048997,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task096,C,onnx_equiv_compression,primary,P1_16_16p7,7678,16.053886,1.946114,2.946114,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task009,C,onnx_equiv_compression,primary,P1_16_16p7,6699,16.190286,1.809714,2.809714,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task383,C,onnx_equiv_compression,primary,P1_16_16p7,5912,16.315261,1.684739,2.684739,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task382,C,onnx_equiv_compression,primary,P1_16_16p7,5702,16.351428,1.648572,2.648572,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task278,C,onnx_equiv_compression,primary,P1_16_16p7,5010,16.480809,1.519191,2.519191,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task165,C,onnx_equiv_compression,primary,P1_16_16p7,4814,16.520716,1.479284,2.479284,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task378,C,onnx_equiv_compression,primary,P1_16_16p7,4426,16.604748,1.395252,2.395252,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task132,C,onnx_equiv_compression,primary,P1_16_16p7,4089,16.683944,1.316056,2.316056,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task069,C,onnx_equiv_compression,primary,P2_16p7_17p5,3905,16.729987,1.270013,2.270013,same_shape,same_size,input_palette_only,264,scripts/v244_costs.txt,
task284,C,onnx_equiv_compression,primary,P2_16p7_17p5,3608,16.809091,1.190909,2.190909,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task201,C,onnx_equiv_compression,primary,P2_16p7_17p5,3349,16.883583,1.116417,2.116417,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task335,C,onnx_equiv_compression,primary,P2_16p7_17p5,3133,16.950254,1.049746,2.049746,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task091,C,onnx_equiv_compression,primary,P2_16p7_17p5,3013,16.989308,1.010692,2.010692,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task224,C,onnx_equiv_compression,primary,P2_16p7_17p5,2829,17.052321,0.947679,1.947679,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task094,C,onnx_equiv_compression,primary,P2_16p7_17p5,2703,17.097882,0.902118,1.902118,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task190,C,onnx_equiv_compression,primary,P2_16p7_17p5,2525,17.166004,0.833996,1.833996,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task046,C,onnx_equiv_compression,primary,P2_16p7_17p5,2279,17.268508,0.731492,1.731492,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task388,C,onnx_equiv_compression,primary,P2_16p7_17p5,2190,17.308343,0.691657,1.691657,shape_change,grow,new_output_colors,266,scripts/v244_costs.txt,
task381,C,onnx_equiv_compression,primary,P2_16p7_17p5,2064,17.367599,0.632401,1.632401,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task392,C,onnx_equiv_compression,primary,P2_16p7_17p5,1941,17.429041,0.570959,1.570959,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task237,C,onnx_equiv_compression,primary,P2_16p7_17p5,1836,17.484655,0.515345,1.515345,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task302,C,onnx_equiv_compression,primary,P3_ge17p5,1774,17.519008,0.480992,1.480992,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task061,C,onnx_equiv_compression,primary,P3_ge17p5,1668,17.580619,0.419381,1.419381,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task159,C,onnx_equiv_compression,primary,P3_ge17p5,1568,17.642444,0.357556,1.357556,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task075,C,onnx_equiv_compression,primary,P3_ge17p5,1487,17.695484,0.304516,1.304516,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task304,C,onnx_equiv_compression,primary,P3_ge17p5,1441,17.726907,0.273093,1.273093,shape_change,grow,new_output_colors,266,scripts/v244_costs.txt,
task141,C,onnx_equiv_compression,primary,P3_ge17p5,1383,17.76799,0.23201,1.23201,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task356,C,onnx_equiv_compression,primary,P3_ge17p5,1319,17.815371,0.184629,1.184629,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task351,C,onnx_equiv_compression,primary,P3_ge17p5,1229,17.886044,0.113956,1.113956,shape_change,shrink,input_palette_only,265,scripts/v244_costs.txt,
task301,C,onnx_equiv_compression,primary,P3_ge17p5,1141,17.96034,0.03966,1.03966,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task225,C,onnx_equiv_compression,primary,P3_ge17p5,1031,18.061716,0.0,0.938284,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task194,C,onnx_equiv_compression,primary,P3_ge17p5,949,18.144591,0.0,0.855409,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task193,C,onnx_equiv_compression,primary,P3_ge17p5,910,18.186555,0.0,0.813445,same_shape,same_size,input_palette_only,266,scripts/v244_costs.txt,
task015,C,onnx_equiv_compression,primary,P3_ge17p5,900,18.197605,0.0,0.802395,same_shape,same_size,new_output_colors,265,scripts/v244_costs.txt,
task230,C,onnx_equiv_compression,primary,P3_ge17p5,900,18.197605,0.0,0.802395,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task221,C,onnx_equiv_compression,primary,P3_ge17p5,805,18.309158,0.0,0.690842,shape_change,grow,input_palette_only,267,scripts/v244_costs.txt,
task178,C,onnx_equiv_compression,primary,P3_ge17p5,762,18.364053,0.0,0.635947,shape_change,shrink,input_palette_only,268,scripts/v244_costs.txt,
task372,C,onnx_equiv_compression,primary,P3_ge17p5,710,18.434735,0.0,0.565265,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task065,C,onnx_equiv_compression,primary,P3_ge17p5,638,18.541662,0.0,0.458338,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task332,C,onnx_equiv_compression,primary,P3_ge17p5,561,18.670279,0.0,0.329721,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task362,C,onnx_equiv_compression,primary,P3_ge17p5,521,18.74425,0.0,0.25575,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task081,C,onnx_equiv_compression,primary,P3_ge17p5,464,18.860115,0.0,0.139885,same_shape,same_size,new_output_colors,264,scripts/v244_costs.txt,
task072,C,onnx_equiv_compression,primary,P3_ge17p5,421,18.957367,0.0,0.042633,shape_change,shrink,new_output_colors,268,scripts/v244_costs.txt,
task203,C,onnx_equiv_compression,primary,P3_ge17p5,355,19.127882,0.0,0.0,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task121,C,onnx_equiv_compression,primary,P3_ge17p5,326,19.213103,0.0,0.0,shape_change,shrink,input_palette_only,266,scripts/v244_costs.txt,
task108,C,onnx_equiv_compression,primary,P3_ge17p5,300,19.296218,0.0,0.0,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task146,C,onnx_equiv_compression,primary,P3_ge17p5,267,19.412751,0.0,0.0,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task315,C,onnx_equiv_compression,primary,P3_ge17p5,230,19.561921,0.0,0.0,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task180,C,onnx_equiv_compression,primary,P3_ge17p5,210,19.652892,0.0,0.0,shape_change,shrink,input_palette_only,268,scripts/v244_costs.txt,
task052,C,onnx_equiv_compression,primary,P3_ge17p5,194,19.732142,0.0,0.0,same_shape,same_size,new_output_colors,267,scripts/v244_costs.txt,
task252,C,onnx_equiv_compression,primary,P3_ge17p5,180,19.807043,0.0,0.0,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task391,C,onnx_equiv_compression,primary,P3_ge17p5,159,19.931096,0.0,0.0,shape_change,shrink,input_palette_only,267,scripts/v244_costs.txt,
task347,C,onnx_equiv_compression,primary,P3_ge17p5,143,20.037155,0.0,0.0,shape_change,shrink,new_output_colors,269,scripts/v244_costs.txt,
task298,C,onnx_equiv_compression,primary,P3_ge17p5,135,20.094725,0.0,0.0,same_shape,same_size,input_palette_only,267,scripts/v244_costs.txt,
task144,C,onnx_equiv_compression,primary,P3_ge17p5,104,20.355609,0.0,0.0,shape_change,shrink,new_output_colors,267,scripts/v244_costs.txt,
task142,C,onnx_equiv_compression,primary,P3_ge17p5,90,20.50019,0.0,0.0,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task373,C,onnx_equiv_compression,primary,P3_ge17p5,60,20.905655,0.0,0.0,same_shape,same_size,input_palette_only,75,scripts/v244_costs.txt,
task113,C,onnx_equiv_compression,primary,P3_ge17p5,30,21.598803,0.0,0.0,same_shape,same_size,input_palette_only,265,scripts/v244_costs.txt,
task311,C,onnx_equiv_compression,primary,P3_ge17p5,30,21.598803,0.0,0.0,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
task276,C,onnx_equiv_compression,primary,P3_ge17p5,10,22.697415,0.0,0.0,same_shape,same_size,new_output_colors,266,scripts/v244_costs.txt,
task307,C,onnx_equiv_compression,primary,P3_ge17p5,5,23.390562,0.0,0.0,shape_change,grow,input_palette_only,266,scripts/v244_costs.txt,
